chapter,section,sub-section,question,options,correct-answer,note
1,Rules of the Road,,What does a solid white line slanting to the left on the right edge of the highway show?,"a: You must turn left soon.,b: An intersection is ahead.,c: The road narrows ahead.",c,"A solid white line angling toward the center indicates that the road narrows ahead, marking the boundary between the lane and shoulder."
1,Rules of the Road,,What should you do at a steady yellow traffic light?,"a: Accelerate to avoid a red light.,b: Proceed with right-of-way.,c: Slow to a stop unless in the intersection.",c,"A steady yellow light signals an upcoming red light, so stop unless you’re already in the intersection."
1,In Shape to Drive,,Is it legal to drink alcohol or possess open alcohol containers in a vehicle on a highway?,"a: Illegal to drink or possess open containers.,b: Legal if not driving.,c: Legal if not drunk.",a,It’s illegal to drink alcohol or possess open or unsealed alcohol containers in a vehicle’s passenger compartment on a highway.
1,Safe Driving Tips,,What is required if a flagger is directing traffic in a construction zone?,"a: Follow the flagger’s directions.,b: Assume the flagger isn’t authorized to direct traffic.,c: Follow surrounding traffic despite the flagger’s instructions.",a,"In construction zones, follow a flagger’s directions, reduce speed, and exercise caution to ensure the safety of workers."
1,Safe Driving Tips,,Which statement about railroad crossings is true?,"a: Illegal to go around lowered gates.,b: Stop when directed by a flagger.,c: Not all crossings have signals or gates.",a,"It’s illegal to go around lowered gates, you must stop for flaggers or signals, and not all crossings have gates or lights."
1,Safe Driving Tips,,What defines a good defensive driver?,"a: Always drives at a constant speed.,b: Anticipates other drivers’ actions.,c: Drives slowly at all times.",b,A defensive driver actively watches for other drivers’ actions and anticipates potential issues to avoid collisions.
1,Safe Driving Tips,,What should you ensure when passing on a multilane highway?,"a: The passing lane is clear.,b: Pass only on the right.,c: Watch for oncoming traffic.",a,Ensure the passing lane is clear and signal before passing on a multilane highway.
1,Rules of the Road,,What does a red and white triangular sign at an intersection indicate?,"a: Always stop completely.,b: Slow down if an emergency vehicle is approaching.,c: Slow down and yield to traffic or pedestrians.",c,"A red and white triangular yield sign requires drivers to slow down and yield to vehicles or pedestrians in the intersection, stopping if necessary."
1,Safe Driving Tips,,What should you do on slippery roads?,"a: Use alternate routes.,b: Drive as on dry roads.,c: Increase following distance.",c,Increase your following distance on slippery roads to allow more stopping time.
2,Rules of the Road,,What do work zone signs indicate?,"a: It is summer.,b: Stop and back up.,c: Less than ideal driving conditions.",c,"Orange work zone signs indicate road work, requiring extra caution due to less than ideal driving conditions."
2,Safe Driving Tips,,What causes many crashes?,"a: Drivers yielding the right-of-way.,b: Drivers checking mirrors and blind spots.,c: Driving too fast for conditions.",c,Driving too fast for road or weather conditions is a common cause of crashes.
2,Safe Driving Tips,,How do you check your blind spot before changing lanes?,"a: Look into the left side mirror.,b: Look into the right side mirror.,c: Look over your shoulder.",c,Check your blind spot by looking over your shoulder in the direction you plan to move before changing lanes.
2,Safe Driving Tips,,Which statement about railroad crossings is true?,"a: Illegal to go around lowered gates.,b: Stop when directed by a flagger.,c: Not all crossings have signals or gates.",a,"It’s illegal to go around lowered gates, you must stop for flaggers or signals, and not all crossings have gates or lights."
2,Rules of the Road,,"When turning left at an intersection, drivers should:","a: Wait in the intersection until the light turns yellow.,b: Wait for the green arrow before turning.,c: Wait in the intersection until clear to turn.",b,Drivers must not enter an intersection unless they can clear it without stopping. Wait for a green arrow or clear conditions before turning left.
2,Safe Driving Tips,,How should you prepare for potential road hazards?,"a: Continually scan the road and roadsides.,b: Stare straight ahead.,c: Rest your left foot on the brake.",a,Continually scan the entire road and roadsides to identify and prepare for potential hazards before encountering them.
2,Rules of the Road,,When must drivers yield to a pedestrian?,"a: Only if the pedestrian is on the same side of the road.,b: Only when the pedestrian is in a crosswalk.,c: Even if the pedestrian crosses carelessly.",c,"Drivers must yield to pedestrians in the street, even if they are crossing against a red light or behaving carelessly."
2,Rules of the Road,,What should you do at a steady red traffic light?,"a: Drive through if no traffic.,b: Proceed with right-of-way.,c: Stop completely.",c,"A steady red light requires a complete stop; driving through is illegal and dangerous, though a right turn may be allowed if not prohibited."
2,Rules of the Road,,How should bicyclists ride on sidewalks or in crosswalks?,"a: Take the right-of-way.,b: Yield to pedestrians.,c: Ride without signaling before passing.",b,"Bicyclists on sidewalks or in crosswalks must yield to pedestrians and ride slowly, unless local rules prohibit sidewalk riding."
2,Safe Driving Tips,,How can you avoid a truck or bus driver’s blind spot?,"a: Never pass them.,b: Avoid driving alongside or tailgating.,c: Flash your lights at them.",b,"Avoid lingering beside or tailgating large vehicles like trucks or buses, as their large blind spots make it hard to see smaller vehicles."
2,Rules of the Road,,What should you do when entering a roadway from a private road?,"a: Honk to warn others.,b: Stop partially on the roadway.,c: Yield to traffic and pedestrians.",c,"Stop before entering from a private road, yielding to vehicles and pedestrians on the main road, and proceed only when clear."
2,Emergencies,,What should you do after a collision?,"a: Stand in traffic lanes to wait for help.,b: Stop at or near the collision site and move the vehicle off the road if possible.,c: Try to remove downed power lines.",b,"After a collision causing only property damage, move the vehicle off the road if possible. For other collisions, stop at or near the site."
2,Safe Driving Tips,,What is required if a flagger is directing traffic in a construction zone?,"a: Follow the flagger’s directions.,b: Assume the flagger isn’t authorized to direct traffic.,c: Follow surrounding traffic despite the flagger’s instructions.",a,"In construction zones, follow a flagger’s directions, reduce speed, and exercise caution to ensure the safety of workers."
2,Rules of the Road,,What does a flashing yellow traffic light mean?,"a: Merging traffic.,b: Proceed with caution.,c: Pedestrian crossing.",b,A flashing yellow light signals drivers to slow down and proceed with caution due to a potential hazard.
2,In Shape to Drive,,How do smoked and ingested marijuana differ in risks?,"a: They have identical risks.,b: They have different risks.,c: They have minimal risks with alcohol.",b,"Smoked marijuana affects users faster and damages lungs, while ingested marijuana acts slower. Both impair driving ability."
2,Safe Driving Tips,,Why be cautious when large trucks or buses make turns?,"a: They back up before turning.,b: They yield to all left-turning traffic.,c: They make wide turns and may cross the centerline.",c,"Large vehicles like trucks and buses make wide turns, sometimes crossing the centerline, so avoid crowding or passing them, especially on the right."
2,Safe Driving Tips,,How can the risk of hydroplaning be reduced?,"a: Drive through shallow water.,b: Drive more quickly.,c: Drive more slowly.",c,"Driving slower in wet conditions reduces hydroplaning risk, as high speeds cause tires to lose grip on water-covered roads."
2,Safe Driving Tips,,Why are railroad crossings considered dangerous?,"a: They’re safe to cross as trains are unlikely.,b: They’re always hazardous.,c: They’re safe parking spots.",b,"Railroad crossings are inherently dangerous. Always check for approaching trains, follow signs, signals, or flaggers, and proceed only when safe."
2,Safe Driving Tips,,"If another driver is passing your car, you should:","a: Signal when it’s safe for them to pass.,b: Pull off the road.,c: Check for oncoming traffic and adjust speed to allow safe passing.",c,"When being passed, check for oncoming traffic and adjust speed to facilitate the passing vehicle’s safe return to the right lane."
2,Safe Driving Tips,,How should you approach a railroad crossing with a crossbuck but no gates or lights?,"a: Cross with extreme caution when no train is coming.,b: Turn down radio to hear trains.,c: Wait for a flagger’s clearance.",a,"Approach with extreme caution, crossing only when no train is coming, and obey any flagger’s instructions."
2,Rules of the Road,,"At a light rail intersection, you should always:","a: Share the road with pedestrians and bicyclists.,b: Look both ways before crossing tracks.,c: Obey all traffic signals.",b,"Never drive around lowered crossing gates, always look both ways before crossing tracks, and obey all signs and signals."
2,Rules of the Road,,What does a green arrow with a red light at an intersection mean?,"a: Stop even if turning in the arrow’s direction.,b: Proceed straight through the intersection.,c: Turn safely in the direction of the arrow.",c,A green arrow with a red light allows a safe turn in the arrow’s direction after yielding to any vehicles or pedestrians in the intersection.
2,Rules of the Road,,What purpose do highway markings serve?,"a: Found only in construction zones.,b: Provide information to drivers.,c: Usually unimportant.",b,"Highway markings guide drivers by indicating correct vehicle positioning, safe passing zones, and upcoming road conditions."
2,Emergencies,,"If followed by a fire engine without emergency signals on a two-lane street, you should:","a: Stop quickly.,b: Speed up to clear the way.,c: Continue driving normally.",c,"If an emergency vehicle like a fire engine isn’t using sirens or lights, continue driving normally without taking special action."
2,Safe Driving Tips,,What affects braking distance?,"a: The condition of the pavement.,b: The speed of your vehicle.,c: The condition of your brakes and tires.",b,"Braking distance is influenced by vehicle speed, brake and tire conditions, and pavement conditions."
2,Rules of the Road,,"When in a travel lane on the roadway, can you stop?","a: To drop off passengers.,b: To look up an address.,c: Not for any reason.",c,"Do not stop in a travel lane; keep moving until you can safely pull off the road, even if you miss a turn or exit."
2,Rules of the Road,,What should you do at a flashing yellow light?,"a: Increase speed.,b: Stop completely.,c: Proceed with caution.",c,"A flashing yellow light indicates a hazard, requiring drivers to slow down and proceed cautiously."
2,Safe Driving Tips,,How does stopping distance change?,"a: Increases on wet or icy roads.,b: Increases on paved highways.,c: Increases at night.",a,Stopping distance increases on wet or icy roads due to reduced traction.
2,Rules of the Road,,"If you arrive at an uncontrolled intersection at the same time as a vehicle on your right, you should:","a: Drive through and make the other vehicle stop.,b: Speed up to clear the intersection.,c: Slow down and yield to the vehicle on your right.",c,"At an uncontrolled intersection, yield to the vehicle on the right, which has the right-of-way, before proceeding."
2,Safe Driving Tips,,What should you do when the driver behind you wants to pass?,"a: Speed up.,b: Maintain your speed.,c: Slow down to allow room for the pass.",c,"Slow down to create space in front of your vehicle, making it easier and safer for the driver to pass."
2,Safe Driving Tips,,Where should you look if an oncoming vehicle’s high beams are on?,"a: The center of the road.,b: The right side of the road.,c: Either side of the road.",b,"Glance toward the right side of the road to avoid being blinded by an oncoming vehicle’s high beams, ensuring you can stay on course."
2,Vehicle Licensing,,How should you park uphill on a street with a curb?,"a: Keep front wheel straight.,b: Turn front wheels away from curb.,c: Turn front wheels toward curb.",b,Turn front wheels away from the curb to prevent the vehicle from rolling into traffic if brakes fail.
2,Safe Driving Tips,,How can you avoid emergency stops in traffic?,"a: Honk to alert others.,b: Maintain a safe following distance.,c: Drive in the right lane only.",b,"Maintain a safe following distance to react to hazards without emergency stops, preventing rear-end collisions."
2,Safe Driving Tips,,What is a blind spot?,"a: Area you can’t see without moving your head.,b: Directly behind your vehicle.,c: Area seen in your rearview mirror.",a,Blind spots are areas to the sides and behind the vehicle that you can’t see without turning your head.
2,Emergencies,,When must you pull over for an emergency vehicle?,"a: Regardless of direction.,b: Only if it’s following you.,c: Only if approaching from the opposite direction.",a,"Pull over and stop for an emergency vehicle with flashing lights, regardless of its direction."
2,Rules of the Road,,What does a flashing yellow light mean?,"a: Stop and wait for a green light.,b: Speed up to clear the intersection.,c: Slow down and proceed with caution.",c,A flashing yellow light requires drivers to slow down and proceed cautiously.
2,Safe Driving Tips,,"When merging with other traffic, you should:","a: Merge regardless of a gap.,b: Wait until your lane ends and merge into a small gap.,c: Allow a gap of about four seconds.",c,A four-second gap is needed when merging to ensure a safe two-second following distance for you and the vehicle behind.
2,Rules of the Road,,What should you do at an intersection with a green light but pedestrians crossing against the red?,"a: Honk your horn.,b: Speed up to pass pedestrians.,c: Stop to let pedestrians cross.",c,"Stop and yield to pedestrians crossing, even if they’re in the wrong, to ensure their safety."
2,Emergencies,,What must you do if a train is approaching a railroad crossing?,"a: Cross the tracks at your own risk.,b: Slow down and proceed cautiously.,c: Wait until the train has fully passed.",c,"Do not cross railroad tracks if a train is approaching and poses a danger, even if signals are absent or malfunctioning."
2,Rules of the Road,,What must you do when making a right turn on a green light?,"a: Maintain normal speed.,b: Stop and check for police.,c: Yield to pedestrians.",c,"Yield to pedestrians and other vehicles in the intersection when making a right turn on a green light, unless prohibited."
3,Safe Driving Tips,,"When exiting a highway, when should you slow down?","a: On the main road before the exit lane.,b: At a toll booth.,c: In the exit lane.",c,Slow down only after moving into the exit lane when exiting a highway to maintain traffic flow.
3,Safe Driving Tips,,Which statement is true about passing a motorcycle?,"a: Following closely is okay.,b: A motorcycle with two riders is more balanced.,c: Change lanes completely when passing.",c,"Completely change lanes when passing a motorcycle, as they’re entitled to a full lane, and avoid following too closely."
3,Rules of the Road,,When are you required to stop your vehicle?,"a: At a red light.,b: When a traffic officer signals you to stop.,c: At an intersection with a stop sign.",a,"You must stop at stop signs, red lights (flashing or steady), or when directed by a traffic officer."
3,Rules of the Road,,What should you do at a flashing yellow light?,"a: Increase speed.,b: Stop completely.,c: Proceed with caution.",c,"A flashing yellow light indicates a hazard, requiring drivers to slow down and proceed cautiously."
3,Rules of the Road,,What does an orange-colored sign indicate?,"a: No passing zone.,b: Railroad crossing.,c: Construction or maintenance zone.",c,"Orange signs with black symbols indicate construction, maintenance, or emergency operations areas."
3,Rules of the Road,,What does a steady yellow arrow at a traffic signal mean?,"a: Merge in the arrow’s direction.,b: Slow to a stop if safe.,c: Turn left after yielding.",b,"A steady yellow arrow indicates an upcoming red arrow, so stop if safe, unless already in the intersection."
3,Rules of the Road,,What should you do if a traffic light changes to solid yellow at an intersection?,"a: Treat as a caution sign.,b: Stop immediately.,c: Stop unless too close to stop safely.",c,"Stop before entering the intersection if safe; if too close, proceed carefully through the intersection."
3,Safe Driving Tips,,What ensures safety when backing your vehicle?,"a: Honk before shifting to reverse.,b: Check behind before entering the vehicle.,c: Check rearview mirrors.",b,"Walk to the back of the vehicle before entering to check for children or objects, as mirrors alone are insufficient."
3,Safe Driving Tips,,What defines a good defensive driver?,"a: Always drives at a constant speed.,b: Anticipates other drivers’ actions.,c: Drives slowly at all times.",b,A defensive driver actively watches for other drivers’ actions and anticipates potential issues to avoid collisions.
3,Safe Driving Tips,,What affects your ability to stop?,"a: Signal lights.,b: Other cars.,c: The time of day.",c,"Stopping ability is affected by road conditions, requiring slower speeds on slippery surfaces to maintain control."
3,Vehicle Licensing,,"When parking uphill next to a curb, what should you do?","a: Keep rear tires against the curb.,b: Keep front tires straight.,c: Turn steering wheel away from the curb.",c,Set the parking brake and turn the steering wheel away from the curb so the vehicle rolls into the curb if it moves.
3,Safe Driving Tips,,What lights should you use when driving in fog?,"a: Low beam headlights.,b: High beam headlights.,c: Parking lights.",a,Use low beam headlights and fog lights (if equipped) in fog to improve visibility without reflecting light back into your eyes.
3,In Shape to Drive,,How can you avoid alcohol-related crashes?,"a: Decide not to drive before drinking.,b: Say “No thanks I’m driving.”,c: Call a taxi.",a,"Decide before drinking that you won’t drive, say no to drinks if driving, or arrange alternative transportation like a taxi."
3,Emergencies,,What should you do when an emergency vehicle with flashing lights approaches?,"a: Try to reach your destination first.,b: Continue driving but stay out of the way.,c: Pull over and stop.",c,"Pull over to the right and stop for an emergency vehicle with flashing lights, or drive through an intersection first if already in it."
3,Safe Driving Tips,,What determines the space needed to cross traffic?,"a: Use of turn signals.,b: Road weather and oncoming traffic conditions.,c: Presence of a stop sign.",b,"The space needed to cross traffic depends on road conditions, weather, and oncoming traffic."
3,Emergencies,,"If your wheels drop off the pavement onto the shoulder, you should:","a: Brake hard and turn sharply back.,b: Stop on the road’s edge.,c: Slow down and carefully return to the pavement.",c,Reduce speed without braking and carefully steer back onto the pavement if your wheels drop onto the shoulder.
3,Safe Driving Tips,,Why is night driving more challenging?,"a: Cars overheat more at night.,b: Visibility is reduced.,c: Rain is more likely at night.",b,"Night driving is harder due to reduced visibility, requiring appropriate headlights and slower speeds to stop within visible distance."
3,Emergencies,,When must you pull over for an emergency vehicle?,"a: Regardless of direction.,b: Only if it’s following you.,c: Only if approaching from the opposite direction.",a,"Pull over and stop for an emergency vehicle with flashing lights, regardless of its direction."
3,Rules of the Road,,What happens if a green arrow changes to a solid green light?,"a: You may still turn but must yield to oncoming traffic.,b: You must proceed straight and cannot turn.,c: You retain the right-of-way to turn.",a,"When a green arrow becomes a solid green light, you may turn in the arrow’s direction but must yield to pedestrians and oncoming traffic."
3,Rules of the Road,,What lane width are motorcycles entitled to?,"a: Half a lane.,b: The bicycle lane.,c: A full lane.",c,"Motorcycles are entitled to a full lane, just like other vehicles, for safe maneuvering."
3,Vehicle Licensing,,Can you park or stop on the shoulder of a freeway?,"a: With four-way flashers on.,b: If no part of the vehicle is on the road.,c: To look at a map.",c,Parking on a freeway shoulder is prohibited except in emergencies.
3,Rules of the Road,,"When approaching a roundabout, you must:","a: Stop in the intersection to yield to traffic on the right.,b: Enter regardless of other vehicles or pedestrians.,c: Drive around the circle to the right.",c,"In a roundabout, always drive to the right, yielding to vehicles, pedestrians, and bicyclists already in or crossing the roundabout."
3,Rules of the Road,,What does a No Standing sign indicate?,"a: You can park if the driver stays in the vehicle.,b: Stopping is never permitted at this location.,c: You may briefly stop to pick up or drop off passengers.",c,A No Standing sign allows only temporary stops to load or unload passengers.
3,Rules of the Road,,What does a No Stopping sign mean unless directed by a police officer?,"a: You can stop only to avoid other traffic.,b: You may stop to unload packages.,c: You can stop only to let passengers out.",a,"A No Stopping sign permits stopping only to obey a traffic signal, a police officer, or to avoid a collision with another vehicle."
3,Safe Driving Tips,,What should you do when making a left turn at a green light?,"a: Yield to oncoming traffic and turn when safe.,b: Turn quickly ahead of oncoming traffic.,c: Signal others to stop so you can turn.",a,"At a green light, yield to oncoming traffic and pedestrians, turning left only when safe, unless a sign prohibits it."
3,Rules of the Road,,"When must you stop for a school bus on a two-lane, two-way roadway?","a: If red warning lights are flashing.,b: If yellow lights are flashing off-road.,c: Only if children are crossing.",a,"Stop for a school bus with flashing red lights on a two-lane road, regardless of direction, unless there’s a median or three+ lanes."
3,Emergencies,,What should you do if you collide with a parked vehicle?,"a: Leave your name and address at the county courthouse.,b: Stay until the owner returns.,c: Try to find the owner or leave a note with contact details and collision time.",c,"If you hit a parked vehicle, attempt to locate the owner. If unsuccessful, leave a visible note with your contact information and the date and time of the collision."
3,Safe Driving Tips,,After stopping for a school bus unloading children:,"a: Accelerate quickly.,b: Watch for children walking along the road.,c: Wait for children to wave before proceeding.",b,"After stopping for a school bus with its stop arm extended and lights flashing, watch for children walking along the road and drive cautiously."
3,Safe Driving Tips,,What should you do when the driver behind you wants to pass?,"a: Speed up.,b: Maintain your speed.,c: Slow down to allow room for the pass.",c,"Slow down to create space in front of your vehicle, making it easier and safer for the driver to pass."
3,Rules of the Road,,What is the correct order of traffic lights from top to bottom?,"a: Green red yellow.,b: Red yellow green.,c: Red green yellow.",b,"Vertically arranged traffic signals always have red at the top, yellow in the middle, and green at the bottom. Horizontally, red is on the left and green on the right."
3,Safe Driving Tips,,Why are railroad crossings considered dangerous?,"a: They’re safe to cross as trains are unlikely.,b: They’re always hazardous.,c: They’re safe parking spots.",b,"Railroad crossings are inherently dangerous. Always check for approaching trains, follow signs, signals, or flaggers, and proceed only when safe."
3,Safe Driving Tips,,How can you relieve fatigue on a long trip?,"a: Stop and rest every two hours.,b: Do arm exercises every hour.,c: Drive with one eye open.",a,Stop every two hours for a break or nap in a safe place to relieve fatigue on long trips and avoid drowsy driving.
3,Rules of the Road,,How should small children be secured in a vehicle?,"a: Held by a strong adult.,b: Standing on the floor in the back.,c: In special child seats.",c,"Small children must be secured in appropriate child seats, as adults cannot safely hold them during a crash or sudden stop."
3,Rules of the Road,,"At an uncontrolled intersection, you must:","a: Wait for other drivers to signal you to proceed.,b: Take the right-of-way cautiously.,c: Slow down and yield to vehicles already in the intersection or those that arrived first.",c,"At uncontrolled intersections, yield to vehicles already in the intersection or those that arrived first."
3,Safe Driving Tips,,"If another driver is passing your car, you should:","a: Signal when it’s safe for them to pass.,b: Pull off the road.,c: Check for oncoming traffic and adjust speed to allow safe passing.",c,"When being passed, check for oncoming traffic and adjust speed to facilitate the passing vehicle’s safe return to the right lane."
3,Rules of the Road,,What should you do when entering a roadway from a private road?,"a: Honk to warn others.,b: Stop partially on the roadway.,c: Yield to traffic and pedestrians.",c,"Stop before entering from a private road, yielding to vehicles and pedestrians on the main road, and proceed only when clear."
3,Safe Driving Tips,,How should you pass another vehicle on a two-lane road with opposite traffic?,"a: Return to your lane when clear of the passed vehicle.,b: Stay in the left lane if turning left.,c: Return to the right side immediately.",a,Return to the right side when there’s enough space between you and the passed vehicle on a two-lane road.
3,Safe Driving Tips,,How does stopping distance change?,"a: Increases on wet or icy roads.,b: Increases on paved highways.,c: Increases at night.",a,Stopping distance increases on wet or icy roads due to reduced traction.
3,Rules of the Road,,"At an intersection with a yield sign, you should:","a: Yield only to traffic on the left.,b: Always stop before entering.,c: Slow down and yield to traffic in the intersection.",c,A yield sign requires slowing down and yielding to traffic or pedestrians in the intersection or roadway you’re entering.
3,Safe Driving Tips,,What is the safest way to drive in traffic?,"a: Fluctuate speed to stay alert.,b: Drive faster than traffic flow.,c: Drive with the flow of traffic.",c,"Drive with the flow of traffic, within the speed limit, to minimize crash risk, as varying speeds can cause collisions."
4,Safe Driving Tips,,Why be cautious when large trucks or buses make turns?,"a: They back up before turning.,b: They yield to all left-turning traffic.,c: They make wide turns and may cross the centerline.",c,"Large vehicles like trucks and buses make wide turns, sometimes crossing the centerline, so avoid crowding or passing them, especially on the right."
4,Safe Driving Tips,,What should you do when the driver behind you wants to pass?,"a: Speed up.,b: Maintain your speed.,c: Slow down to allow room for the pass.",c,"Slow down to create space in front of your vehicle, making it easier and safer for the driver to pass."
