chapter,section,sub-section,question,options,correct-answer,note
5,,,Your car may hydroplane on wet roads at speeds as low as:,"a:45 mph.,b:35 mph.,c:40 mph.",b,Hydroplaning can occur at 35 mph if tires lose traction on wet surfaces.
5,,,"On a New York highway with no posted speed limit, the maximum speed is:","a:50 mph.,b:55 mph.,c:60 mph.",b,The default maximum speed is 55 mph unless otherwise posted.
5,,,"At a steady yellow traffic light, drivers should:","a:Speed up to avoid a red light.,b:Continue with right-of-way.,c:Slow to a stop unless in the intersection.",c,"Stop unless already in the intersection, as a red light is imminent."
5,,,"If an edge line angles inward on a road, it indicates:","a:The speed limit is decreasing.,b:The road is narrowing.,c:The road is widening.",b,"An inward-angling edge line signals a narrowing road, requiring cautious merging."
5,,,Interstate driving demands:,"a:Ability to drive safely at high speeds.,b:Constant alertness.,c:Both of these.",c,Interstate driving requires high-speed capability and constant vigilance.
5,,,"To avoid aggressive driving, you should:","a:Stay calm and focus on driving.,b:Drive above the speed limit.,c:Tailgate other drivers.",a,Remain relaxed and drive within limits to prevent aggressive behavior.
4,,,"Assuming that the street is level, what should you do after you have finished parallel parking in a space between two other cars?","a:Leave your front wheels turned toward the curb,b:Make sure your car almost touches the car behind you,c:Move as far forward in the space as possible,d:Straighten your front wheels and leave room between cars",d,Straightening wheels and leaving space ensures easier exit and avoids contact with other cars.
4,,,"When changing lanes, you should:","a:Rely only on mirrors.,b:Signal while moving into the lane.,c:Signal at least 100 feet before.",c,Signal 100 feet in advance and check blind spots to change lanes safely.
4,,,What should you do after you have finished parallel parking in a space between two other cars and assuming the street is level?,"a:Move as far forward in the space as possible.,b:Make sure your car almost touches the car behind you.,c:Leave your front wheels turned toward the curb.",c,"After parallel parking on a level street, leave front wheels turned toward the curb to prevent rolling."
4,,,When passing on a multilane highway:,"a:Ensure the passing lane is clear.,b:Pass only on the right.,c:Watch for oncoming traffic.",a,Check that the passing lane is clear and signal before overtaking.
4,,,What contains the same amount of alcohol as a five-ounce glass of wine?,"a:A gallon of wine.,b:One 12-ounce can of beer.,c:One pint of whiskey.",b,A 12-ounce can of beer (5% alcohol) contains roughly the same amount of alcohol as a 5-ounce glass of wine (12% alcohol).
4,,,An orange sign indicates:,"a:A no-passing zone.,b:A railroad crossing.,c:A work zone.",c,Orange signs signal construction or maintenance work zones.
4,,,What should you do if you see a child who is about to run into the street?,"a:Prepare to slow down.,b:Flash your headlights.,c:Sound a sharp blast of your horn.",a,Prepare to slow down to avoid a collision if a child is about to run into the street.
4,,,"When overtaking another vehicle, you should:","a:Wait for their signal.,b:Change lanes quickly.,c:Signal and pass when safe.",c,Signal and pass only when the road is clear and safe.
4,,,"If your right wheels leave the pavement, you should:","a:Stop quickly.,b:Pull off the road completely.,c:Slow down and ease back onto the road.",c,"Slow down, steer parallel, and gently return to the road to maintain control."
4,,,"When you get ready to leave an expressway, you should begin to use your turn signal:","a:Just as you get to the exit ramp,b:50 feet before the exit ramp,c:100 feet before the exit ramp,d:When you see cars behind you in the exit lane",c,Signaling 100 feet before the exit ramp gives other drivers adequate warning.
4,,,You may cross a single solid white line on the highway:,"a:Anytime you choose.,b:If traffic conditions require it.,c:Only to turn into a driveway.",b,Cross a solid white line only when necessary due to traffic conditions.
4,,,In which of the following situations is passing always forbidden?,"a:The vehicle ahead is making a left turn,b:You are on a one-way street which has two lanes,c:The vehicle ahead is stopped for a pedestrian in a crosswalk,d:The vehicle ahead is going to park parallel to the curb",c,Passing is forbidden when a vehicle is stopped for a pedestrian in a crosswalk to ensure pedestrian safety.
4,,,When is it legal to drive around or under a railroad crossing gate?,"a:Never.,b:When you can see both directions clearly.,c:When warning lights are off.",a,Driving around or under a railroad gate is always illegal and unsafe.
4,,,Who is an inattentive driver?,"a:Only watches the vehicle ahead of their vehicle.,b:Maintains eye contact during a conversation with a passenger while driving.,c:Stares at objects off the roadway or daydreams while driving.",c,"An inattentive driver is distracted by staring off the roadway or daydreaming, reducing awareness of traffic."
4,,,You are getting on a highway which has a very short entrance lane. The safest way for you to enter the flow of traffic would be to:,"a:Use as much ramp as possible to get up to cruising speed,b:Use the left lane of the highway to get up to cruising speed,c:Wait for a large gap in traffic then speed up quickly,d:Get up to cruising speed gradually so other cars will see you",c,Waiting for a large gap and then speeding up quickly ensures safe merging in a short entrance lane.
4,,,'No zones' are areas around trucks where cars:,"a:Disappear into blind spots.,b:Have sufficient space to travel behind the truck.,c:Have several car space between their vehicle and the truck.",a,No zones refer to the blind spots around large vehicles like trucks where smaller vehicles may not be visible to the truck driver.
4,,,Your car starts to skid on a slippery road. You should:,"a:Brake quickly and keep the wheel straight,b:Lock your brakes until you have come to a complete stop,c:Steer in the direction you want the front wheels to go,d:Steer toward the side of the road to get off the wet pavement",c,Steering in the direction you want to go helps regain control during a skid.
4,,,"When a school bus’s red lights are flashing, you must:","a:Pass if no children are on the road.,b:Stop until the lights stop flashing.,c:Pass if facing the bus’s front.",b,Stop at least 20 feet away until the lights stop and the stop arm is withdrawn.
4,,,When two vehicles reach an intersection from different roads simultaneously which yields?,"a:Either vehicle,b:The vehicle on the left,c:The vehicle on the right",b,The left vehicle yields to the right vehicle to prevent conflicts.
4,,,What does a flashing red traffic signal at an intersection mean?,"a:A stop sign.,b:A yield sign.,c:A slow sign.",a,"A flashing red traffic signal functions as a stop sign, requiring a complete stop before proceeding."
6,,,Vehicle stopping distances do not depend on:,"a:Your reaction time.,b:Time of day.,c:Brake condition.",b,"Stopping distance is unaffected by time of day, unlike reaction time or brakes."
6,,,"At a flashing red traffic light, drivers should:","a:Proceed if no cross traffic.,b:Continue as they have right-of-way.,c:Treat it like a stop sign.",c,"A flashing red light requires a complete stop, like a stop sign, until safe to proceed."
6,,,"In New York, who must wear seat belts in moving vehicles?","a:Only drivers,b:Only passengers,c:Drivers and all passengers",c,All occupants must wear seat belts to comply with New York law.
6,,,Aggressive driving can become road rage. What should you do when confronted by an aggressive driver?,"a:Speed up to pass the driver as quickly as possible,b:Be prepared to yield the right of way,c:Drink alcohol to calm yourself down,d:Make eye contact with the driver",b,Yielding the right of way to an aggressive driver helps de-escalate the situation and ensures safety.
6,,,A driver may park in a space reserved for people with disabilities:,"a:Only if the driver is disabled.,b:Regardless of who is in the vehicle.,c:Is carrying the disabled person named on the registration.",c,Parking in a disabled space is allowed only when transporting the disabled person named on the registration or permit.
6,,,You must stop at a railroad crossing when:,"a:A flagger directs you.,b:A stop sign is present.,c:Flashing red signals and gates are active.,d:All of the above",d,"Stop for a flagger, stop sign, or active signals and gates indicating a train."
6,,,When parking downhill on a two-way street:,"a:Turn wheels to the right.,b:Turn wheels to the left.,c:Keep wheels straight.",a,Turn wheels right toward the curb to secure the vehicle.
6,,,A flashing yellow traffic light means:,"a:Merging traffic.,b:Proceed cautiously.,c:Pedestrian crossing.",b,"Drive with caution, yielding to other traffic or pedestrians as needed."
6,,,"To slow down on a slippery road, you should first:","a:Press the brakes firmly.,b:Remove your foot from the gas pedal.,c:Use the parking brake.",b,"Take your foot off the gas to slow down gradually, avoiding sudden braking that could cause skidding."
6,,,A child passenger under 8 and shorter than ___ in height is required to be seated in an approved child safety seat while in a moving vehicle.,"a:4 feet 11 inches,b:5 feet,c:5 feet 5 inches",a,New York law requires children under 8 and shorter than 4 feet 9 inches to use an approved child safety seat.
6,,,"To anticipate road hazards, you should:","a:Scan the entire road and roadsides.,b:Stare straight ahead.,c:Rest your foot on the brake.",a,Continuously scan all directions to identify potential dangers early.
6,,,What does a diamond-shaped sign mean?,"a:A road hazard sign.,b:Interstate route sign.,c:School crossing sign.",a,"Diamond-shaped signs are used to warn drivers of road hazards, such as curves, intersections, or other potential dangers."
6,,,"At night, if an oncoming vehicle’s high beams impair your vision, you should:","a:Look toward the left lane edge.,b:Look toward the right lane edge.,c:Look straight ahead.",b,Look right to avoid glare while staying in your lane.
6,,,Which are used on highways to guide drivers into turning lanes?,"a:Flashing red lights,b:Flashing yellow lights,c:White lines on the road",c,White lines or arrows direct drivers into proper turning lanes.
6,,,You may cross a dashed white line:,"a:At any time.,b:Only in daylight.,c:When safe to change lanes.",c,Cross dashed white lines only when it’s safe to change lanes or pass.
6,,,"While waiting in an intersection for a left turn, you should:","a:Signal and keep wheels turned left.,b:Signal and keep wheels straight.,c:Flash headlights to alert drivers.",b,Keep wheels straight to avoid being pushed into oncoming traffic if rear-ended.
6,,,"When you get ready to leave an expressway, you should begin to use your turn signal:","a:Just as you get to the exit ramp,b:50 feet before the exit ramp,c:100 feet before the exit ramp,d:When you see cars behind you in the exit lane",c,Signaling 100 feet before the exit ramp gives other drivers adequate warning.
6,,,What are the consequences that can result from driving under the influence of alcohol or other drugs?,"a:Possible imprisonment,b:A mandatory fine,c:Driver license revocation,d:All of these choices",d,"DUI can lead to imprisonment, fines, and license revocation."
6,,,What should the motorist do if they see pedestrians in an upcoming crosswalk?,"a:Continue ahead as the motorist has the right-of-way.,b:Wait for the pedestrians to cross the street.,c:Pull to the right and go around the pedestrians.",b,"Wait for pedestrians to cross the street, as they have the right-of-way in a crosswalk."
6,,,Which sign is rectangular?,"a:School crossing sign,b:Railroad crossing sign,c:Stop sign",a,"School crossing signs are rectangular, unlike round or octagonal signs."
3,,,When an approaching driver fails to dim their high beam headlights. Where should you look?,"a:Toward the left side of the road.,b:Toward the right side of the road.,c:At the wheels of the approaching vehicle.",b,"To avoid glare from high beams, look toward the right side of the road to stay oriented."
3,,,A single dashed white line means:,"a:Passing is always allowed.,b:Lanes move in opposite directions.,c:Passing is allowed if safe.",c,Dashed white lines allow passing or lane changes when safe.
3,,,A defensive driving strategy is:,"a:Focusing straight ahead.,b:Staying alert and scanning.,c:Expecting others to correct your mistakes.",b,Constantly scan the road and surroundings to anticipate hazards.
3,,,"Under normal driving conditions, when following another vehicle,  use the ____ rule.","a:Two-second,b:One-second,c:Half-second",a,A two-second gap provides a safe stopping distance under ideal conditions.
3,,,A large truck is in front of you and is making right onto a street with two lanes in each direction. The truck:,"a:Must stay in the right lane at all times while turning.,b:May have to swing wide to complete the right turn.,c:May complete its turn in either of the two lanes.",b,"Large trucks often need to swing wide to complete turns, especially right turns, due to their size and turning radius."
3,,,What does a solid yellow line on your side of the centerline mean?,"a:Do not pass.,b:Traffic light ahead.,c:Reduce your speed.",a,A solid yellow line on your side of the centerline prohibits passing from your direction.
3,,,Which takes precedence over the others?,"a:A steady red light,b:A police officer,c:A stop sign",b,A police officer’s directions override traffic signals or signs.
3,,,What should you do at a school crossing sign?,"a:Watch for children and be ready to stop.,b:Always stop whether there is a stop sign or not.,c:Always honk your horn when you see children.",a,"At a school crossing sign, watch for children and be prepared to stop to ensure their safety."
3,,,Your car starts to skid on a slippery road. You should:,"a:Brake quickly and keep the wheel straight,b:Lock your brakes until you have come to a complete stop,c:Steer in the direction you want the front wheels to go,d:Steer toward the side of the road to get off the wet pavement",c,Steering in the direction you want to go helps regain control during a skid.
3,,,You may not cross a single broken white (or yellow) line:,"a:When to do so would interfere with traffic,b:When turning left into a driveway,c:When the car in front is disabled,d:When passing to the right on a one-way street",a,Crossing a broken line is prohibited if it interferes with traffic to ensure safety.
3,,,What should a motorist do when approaching a bicyclist?,"a:Speed up to pass them.,b:Proceed.,c:Turn into the opposite lane.",b,"Motorists should proceed cautiously when approaching a bicyclist, maintaining a safe distance and passing only when safe."
3,,,"When braking on slippery surfaces, apply brakes:","a:Quickly.,b:Earlier than usual.,c:More abruptly.",b,Apply brakes slowly and earlier to avoid locking wheels on slippery surfaces.
3,,,Orange-colored signs are:,"a:Work zone signs.,b:Regulatory signs.,c:School zone signs.",a,Orange signs with black symbols indicate work zones with workers or equipment.
3,,,Seat belts are most effective when worn by:,"a:Only the driver.,b:Passengers on long trips.,c:All vehicle occupants.",c,"All occupants benefit from seat belts, reducing injury risk in crashes."
3,,,What happens when you continuously hard brake on ice and snow?,"a:Helps you stop faster.,b:Keeps the brakes from freezing.,c:Locks the front wheels of a vehicle causing a loss of steering.",c,"Hard braking on ice or snow can lock the wheels, causing a loss of steering control."
3,,,Which is true about speed?,"a:Driving too slowly can never be risky.,b:Speeding can be fatal.,c:Speeding is safe for skilled drivers.",b,Speeding increases crash severity.
3,,,You may stop on a freeway shoulder:,"a:With emergency flashers on.,b:If no part of your vehicle is on the road.,c:To check a map.,d:none",d,Stopping on the freeway shoulder is allowed only in emergencies.
3,,,When parking uphill on a street with a curb:,"a:Keep wheels straight and set brake.,b:Turn front wheels away from curb.,c:Turn front wheels toward curb.",b,Turn wheels away from the curb to prevent rolling.
3,,,Alcohol affects driving by:,"a:Improving skills harming judgment.,b:Harming skills and judgment.,c:Having no effect.",b,"Alcohol impairs reaction time, vision, and judgment, reducing driving ability."
3,,,"If you’re about to be rear-ended, you should not:","a:Unfasten your seat belt.,b:Brace yourself.,c:Press your head against the headrest.",a,Keep your seat belt on and brace yourself to minimize injury; unfastening the belt increases risk during impact.
2,,,"If your car’s suspension is faulty, it can cause:","a:Vehicle control issues.,b:Squealing brakes.,c:Loose steering.",a,"Poor suspension leads to control problems, making the vehicle harder to handle."
2,,,"When driving through fog, you should:","a:Reduce speed and use low beams.,b:Slow down and use high beams.,c:Flash lights to alert other drivers.",a,Slowing down with low beams improves visibility and control in foggy conditions.
2,,,Who is an inattentive driver?,"a:Only watches the vehicle ahead of their vehicle.,b:Maintains eye contact during a conversation with a passenger while driving.,c:Stares at objects off the roadway or daydreams while driving.",c,"An inattentive driver is distracted by staring off the roadway or daydreaming, reducing awareness of traffic."
2,,,A motorist should be aware that a bicyclist riding on the roadway must:,"a:Ride on the right side of the road.,b:Ride on either side of the road.,c:Ride on the side of the road facing traffic.",a,"Bicyclists must ride on the right side of the road, in the same direction as traffic, per traffic laws."
2,,,"If you drive past your exit on an expressway, you should:","a:Pull onto the shoulder then back up to the exit,b:Drive to the next exit and leave the expressway,c:Make a U-turn at the nearest emergency turn area,d:Make a U-turn at the next service area",b,Driving to the next exit is the safest option to avoid dangerous maneuvers like backing up or U-turns.
2,,,"When turning right on a green light, you must:","a:Keep your normal speed.,b:Stop and check for police.,c:Yield to pedestrians.",c,"Yield to pedestrians in crosswalks, even with a green light, for safety."
2,,,"When encountering a deep puddle on the road ahead, you should:","a:Keep the posted speed to pass through the water.,b:Steer clear of the puddle if possible.,c:Shift to neutral while driving through the water.",b,"Avoiding deep puddles prevents skidding or hydroplaning, as wet surfaces are slippery and reduce traction."
2,,,Which is true about BAC (blood alcohol content)?,"a:A breathalyzer tests BAC.,b:A chemical test is required for conviction.,c:Physical fitness reduces BAC.",a,"A breathalyzer measures BAC, but convictions may not need a chemical test."
2,,,"When you get ready to leave an expressway, you should begin to use your turn signal:","a:Just as you get to the exit ramp,b:50 feet before the exit ramp,c:100 feet before the exit ramp,d:When you see cars behind you in the exit lane",c,Signaling 100 feet before the exit ramp gives other drivers adequate warning.
2,,,Which factors often contribute to traffic crashes?,"a:Speeding or driving too fast for conditions.,b:Getting enough rest.,c:Staying focused on driving.",a,Excessive speed or inappropriate speed for conditions causes many crashes.
2,,,A driver’s left arm extended downward signals:,"a:A left turn.,b:A right turn.,c:A stop.",c,An extended downward arm indicates the driver intends to stop.
2,,,"When moving from the right to the left lane on a multilane highway, you should:","a:Check your rearview mirror for traffic.,b:Look over your left shoulder for blind spots.,c:Use your side mirror signal and check traffic.",c,"Signal, check mirrors, and look over your shoulder for a safe lane change."
2,,,"If your vehicle loses traction on a wet road, you should:","a:Drive at a steady speed.,b:Brake firmly to stop sliding.,c:Slow down gradually without braking.",c,"Gradually slow down to regain traction, avoiding brakes to prevent hydroplaning."
2,,,"At an unmarked railroad crossing, you should:","a:Stop completely.,b:Slow down and prepare to stop.,c:Not applicable as all crossings have signals.",b,Slow down and be ready to stop if a train is approaching.
2,,,"If your right wheels leave the pavement, you should:","a:Stop quickly.,b:Pull off the road completely.,c:Slow down and ease back onto the road.",c,"Slow down, steer parallel, and gently return to the road to maintain control."
2,,,"Generally, pass vehicles traveling in the same direction:","a:On their right.,b:On their left.,c:Only with their signal.",b,Pass on the left in the passing lane when safe and legal to do so.
2,,,What are the colors of a sign which tells you the distance to the next exit of a highway?,"a:Yellow with black letters,b:Black with white letters,c:Red with white letters,d:Green with white letters",d,Exit signs on highways are green with white letters for clear visibility.
2,,,"When leaving an expressway, you should:","a:Speed up on the exit ramp.,b:Check the speed limit for the exit road.,c:Cut off other vehicles.",b,Adjust speed based on the exit ramp’s posted limit for a safe exit.
2,,,"If your vehicle starts to skid, you should:","a:Lift off the gas pedal.,b:Brake hard.,c:Turn off the engine.",a,Release the gas pedal to regain balance and steer in the direction of the skid.
2,,,"After passing a car, you may return to the right lane when you:","a:Have turned your headlights on.,b:Have put your turn signal on.,c:See the front bumper of the other car in your rearview mirror.",c,Return to the right lane after passing when you can see the front bumper of the passed vehicle in your rearview mirror.
1,,,"On a New York highway with no posted speed limit, the maximum speed is:","a:50 mph.,b:55 mph.,c:60 mph.",b,The default maximum speed is 55 mph unless otherwise posted.
1,,,What should you do if an approaching train is near enough or going fast enough to be a danger?,"a:Cross the tracks at your own risk.,b:Not cross the tracks until the train has completely passed.,c:Slow down and proceed with caution.",b,Do not cross the tracks until the train has completely passed to avoid a collision.
1,,,What does a flashing yellow light mean?,"a:Merging traffic,b:Proceed with caution,c:Pedestrian crossing,d:Come to a full stop",b,"A flashing yellow light means proceed with caution, staying alert for potential hazards."
1,,,You have just left an expressway and are starting to drive on an ordinary highway. You should:,"a:Check your tires for correct pressure,b:Check your speedometer to keep at the lower speed limit,c:Stay twice as far behind other cars,d:Change gradually to the lower speed limit",b,Checking your speedometer ensures you adjust to the lower speed limit of an ordinary highway.
1,,,"When you see a flashing yellow light at an intersection, you should:","a:Yield to all traffic before proceeding.,b:Stop then proceed when safe.,c:Slow down and cross cautiously.",c,"Slow down and proceed carefully, yielding as needed."
1,,,Should you always drive slower than other traffic?,"a:No since slow driving can block traffic.,b:Yes it’s a defensive technique.,c:Yes it’s always safer.",a,Driving too slowly can impede traffic flow and may result in a citation.
1,,,"When you get ready to leave an expressway, you should begin to use your turn signal:","a:Just as you get to the exit ramp,b:50 feet before the exit ramp,c:100 feet before the exit ramp,d:When you see cars behind you in the exit lane",c,Signaling 100 feet before the exit ramp gives other drivers adequate warning.
1,,,Vehicle stopping distances do not depend on:,"a:Your reaction time.,b:Time of day.,c:Brake condition.",b,"Stopping distance is unaffected by time of day, unlike reaction time or brakes."
1,,,"While waiting in an intersection for a left turn, you should:","a:Signal and keep wheels turned left.,b:Signal and keep wheels straight.,c:Flash headlights to alert drivers.",b,Keep wheels straight to avoid being pushed into oncoming traffic if rear-ended.
1,,,A bicyclist differs from a motorist in that a bicyclist isn't required to:,"a:Obey the same traffic laws,b:Signal all turns,c:Report accidents resulting in serious injury,d:Insure the bicycle",d,"Bicyclists are not required to insure their bicycles, unlike motorists."
1,,,Which does alcohol affect?,"a:Recovery from headlight glare,b:Reaction time,c:Distance judgment,d:All",d,"Alcohol impairs glare recovery, reaction time, and distance judgment."
1,,,"When a bicyclist makes a left turn, they may:","a:Use the left lane.,b:Cut through all lanes.,c:Wait on the roadside.",a,"Bicyclists can use the left lane to make a left turn, like other vehicles."
1,,,"When completing a left turn from a two-way to a one-way street,  your vehicle should be in:","a:The right lane.,b:The center of the street.,c:The left lane.",c,End the turn in the leftmost lane of the one-way street.
1,,,"In a disabled parking space without a disabled person, a driver:","a:May park in an emergency.,b:May stop in an emergency.,c:May stand in an emergency.",c,Only standing is allowed in an emergency; parking or stopping is prohibited.
1,,,Which disrupts smooth traffic flow?,"a:Slowing to view a crash scene.,b:Avoiding unnecessary lane changes.,c:Using public transit.",a,Rubbernecking at crashes slows traffic and risks further accidents.
1,,,You have the right-of-way when:,"a:Entering a traffic circle.,b:Backing out of a driveway.,c:Leaving a parking space.,d:none",d,You must yield in these situations to other traffic.
1,,,In two lanes moving your direction if many vehicles pass you on the right while in the left lane you should:,"a:Stay in the left lane.,b:Move to the left shoulder.,c:Move to the right lane when safe.",c,Move to the right lane to allow faster traffic to pass safely.
1,,,How many alcoholic drinks does it take to affect your driving ability?,"a:Three,b:Two,c:One",c,"Even one alcoholic drink can impair driving ability, affecting reaction time and judgment."
1,,,"When parked parallel to the curb, you may exit on the traffic side only:","a:During daylight when visible to other drivers.,b:When the nearest traffic light is red.,c:When it won’t interfere with oncoming traffic.",c,Exit only when safe to avoid disrupting traffic or endangering bicyclists and vehicles.
1,,,Passing is always prohibited when:,"a:The vehicle ahead is turning left.,b:On a two-lane one-way street.,c:The vehicle ahead is stopped for a pedestrian.",c,"Never pass a vehicle stopped at a crosswalk, as pedestrians have priority."
