chapter,section,sub-section,question,options,correct-answer,note
3,,,Blind spots are:,"""a: Spots in your vision when you become fatigued.,b: Areas of the road that cannot be seen in a vehicle's mirrors.,c: Traffic control devices.""","""b""","""Blind spots are 'areas around the vehicle that a driver cannot see when looking straight ahead or using the mirrors.' (Page 58)"""
3,,,"When used on roadways, bicycles are considered:","""a: Hazards.,b: Vehicles.,c: Dangerous.""","""b""","""Bicycles are considered 'vehicles' on roadways and share the same rights and responsibilities as other vehicles. This is clearly stated on page 46, where The DMV handbook says 'Bicyclists have the same rights and responsibilities as other drivers.'"""
3,,,You are approaching a green traffic light and traffic is blocking the intersection. What is the best thing to do?,"""a: Partially enter the intersection to establish your right-of-way.,b: Don't enter the intersection until you can get completely across.,c: Continue into the intersection and wait for traffic to clear.""","""b""","""Even if you have a green light, do not start across the intersection if there are pedestrians or vehicles blocking your pathway.  It is against the law to stop or block an intersection where there is not enough space to completely cross before the traffic signal light turns red."""
3,,,To know where traffic is behind you:,"""a: Frequently check your rearview mirror.,b: Turn and look out your back window.,c: Keep other vehicles out of your blind spots.""","""a""","""The DMV handbook states on page 58, 'Knowing what is behind you can help you avoid rear-end collisions. Check traffic behind you often by using your rearview mirror, side mirrors, and turning your head when you: ... reduce your speed.'"""
3,,,"When you prepare to make a left turn from a one-way road into a one-way road, you must","""a: Move into the left lane or to the left side of a single lane,b: Move into the right lane or to the right side of a single lane,c: Move into the right lane or to the left side of a single lane""","""a""","""The DMV handbook states, 'To turn left: Drive close to the center divider or into the left turn lane.' On a one-way street, you should be driving in the far left lane, so to turn left you should remain in that lane."""
3,,,When double solid yellow lines separate lanes of traffic:,"""a: Passing is permitted from the left.,b: Passing is permitted from the right.,c: Passing is not permitted from either direction.""","""c""","""Double solid yellow lines indicate a lane barrier and passing is not permitted from either direction. 'Do not pass over double solid yellow lines.'"""
3,,,You are driving a slow moving vehicle on a winding two-lane highway. You must pull over when it is safe and let other drivers pass when you are followed by,"""a: 3 vehicles,b: 4 vehicles,c: 5 or more vehicles""","""c""","""According to the DMV handbook, ‘You must use a turnout area or lane to let other vehicles pass when you are driving slowly on a two-lane road, where passing is unsafe, and there are five or more vehicles following you.'"""
3,,,You drive defensively when you:,"""a: Put one car length between you and the car ahead.,b: Look only at the car in front of you while driving.,c: Keep your eyes moving to look for possible hazards.""","""c""","""Defensive driving is described as being aware of your surroundings, and the DMV handbook states that 'To drive safely, you need to know what is around you.'"""
3,,,What is the first thing you should do if your wheels move off the pavement?,"""a: Ease your foot off the gas pedal and brake gently,b: Pull over to the right and sound your horn to warn the other drivers,c: Pull the steering wheel back""","""a""","""According to page 68, the first step you should take if your wheels drift off the pavement is to 'Grip the steering wheel firmly. Remove your foot from the accelerator. Brake gently.'"""
3,,,"At an intersection with a yield sign, you:","""a: Must yield the right-of-way to cross traffic that is close enough to cause conflict.,b: Must yield to vehicles only on your right.,c: Should slow down but never stop.""","""a""","""According to the DMV handbook on page 38, 'Slow down and be ready to stop to let any vehicle, bicyclist, or pedestrian pass before you proceed.'"""
3,,,"If you come to a railroad crossing with lowered gates and flashing warning lights, you should:","""a: Drive around the crossing gates if you can't see a train.,b: Come to a complete stop well behind the gates,c: Slow down and drive around the gates.""","""b""","""When the crossing devices or a person warns you a train is coming, stop at least 15 feet from the nearest track."""
3,,,The first thing that alcohol effects is:,"""a: Vision.,b: Judgment.,c: Balance.""","""b""","""The DMV handbook states that alcohol can 'affect your ability to drive safely and react to what you see and hear.'"""
3,,,"When driving in work zones, you should:","""a: Increase your speed to get through the zone as quickly as possible.,b: Reduce your speed and be prepared to stop suddenly.,c: Maintain your normal speed the whole way through the zone.""","""b""","""The DMV handbook states, 'Go through the work zone carefully by: Slowing down., Allowing extra space between vehicles., Expecting sudden slowing or stopping.'"""
3,,,"The traffic light is green and you want to drive straight through an intersection. If a car is already in the intersection and is making a turn, you must","""a: Enter the intersection and then stop,b: Drive through the intersection. You have the right-of-way,c: Let that car complete its turn before you enter the intersection""","""c""","""Even if you have a green light, you must still yield to vehicles, bicyclists, or pedestrians already in the intersection. 'You should still stop for any vehicle, bicyclist, or pedestrian in the intersection. Only proceed if you have enough space without creating a danger to any oncoming vehicle, bicyclist, or pedestrian.' """
3,,,When should you signal?,"""a: Before turning 100 feet before turning.,b: 2100 feet before turning.,c: 3200 feet before turning.,d: none of the above""","""a""","""The DMV handbook states that drivers should signal 'At least 100 feet before you turn.'"""
3,,,You want to pass a bicyclist in a narrow traffic lane when an oncoming vehicle is approaching. You should:,"""a: Honk your horn then pass the bicyclist.,b: Slow down and let the vehicle pass you before you pass the bicyclist.,c: Wait until the bicyclist rides off the roadway.""","""b""","""The DMV handbook states, 'When you cannot change lanes to pass a bicyclist, allow at least three feet between your vehicle and the bicyclist.'  Therefore, the best approach is to slow down and allow the oncoming vehicle to pass before attempting to pass the bicyclist."""
3,,,"If you encounter an aggressive driver, you should:","""a: Challenge them.,b: Get out of their way.,c: Speed up.""","""b""","""The best course of action when encountering an aggressive driver is to get out of their way.  'If a tailgater is behind you. Maintain your course and speed. Then, when safe to do so, merge right to change into another lane and allow the tailgater to pass.'"""
3,,,"Work zone barriers, drums, cones, and signs are used to:","""a: Make drivers angry about slow traffic.,b: Inconvenience drivers.,c: Keep traffic out of hazardous work zones.""","""c""","""Cones, drums, and barriers are used to keep traffic out of a hazardous work zone. 'Go through the work zone carefully by: Slowing down.' 'Cones, drums, or other barriers will guide you through the work zone.' """
3,,,You want to pass a bicyclist riding on the right edge of your lane. You,"""a: must honk your horn before passing the bicyclist,b: must not squeeze past the bicyclist,c: may not pass the bicyclist for any reason""","""b""","""The DMV handbook states, 'When you cannot change lanes to pass a bicyclist, allow at least three feet between your vehicle and the bicyclist. If you cannot give three feet of space, do not pass the cyclist until three feet of clearance can be given.'"""
3,,,Which of the following statements is true?,"""a: Driving too slowly is not an unsafe practice.,b: Driving too slowly on certain highways can be dangerous.,c: The speed at which you drive a vehicle does not affect safety.""","""b""","""The DMV handbook states that 'You must drive slower when there is heavy traffic or bad weather. At the same time, you should not block normal and reasonable traffic flow by driving too slowly. If you drive faster or slower than the speed limit, you may be cited.'"""
3,,,You may make a left turn on a red light only from a:,"""a: One-way street onto a two-way street.,b: One-way street onto a one-way street.,c: Two-way street onto a one-way street.""","""b""","""You may turn left against a red light when you are turning from a one-way street onto a one-way street. Make sure there is no sign prohibiting the turn. Yield to other vehicles, pedestrians, or bicyclists who have a green light. Look both ways and turn when it is safe."""
3,,,"When turning left from a two-way street onto a one-way street, you should:","""a: Turn into any lane.,b: Turn into first lane.,c: Turn into second lane.""","""a""","""According to page 21 of the DMV handbook, 'If there are three or more lanes in your direction of travel, you may end your turn in any lane that is open.'"""
3,,,You may pass a vehicle when:,"""a: You are on a hill or curve.,b: You are on a road with a solid line next to your lane.,c: You are on a road with a broken line next to your lane.""","""c""","""A broken yellow line indicates you may pass if the broken line is next to your driving lane. Only pass when it is safe."""
3,,,A pentagon-shaped sign is a:,"""a: Stop sign.,b: Regulatory sign.,c: School zone or school crossing sign.""","""c""","""The DMV handbook states that a 5-sided sign indicates a school zone or school crossing."""
3,,,"Which of the following is true about roadways on bridges and overpasses in cold, wet weather?","""a: They tend to freeze before the rest of the road does.,b: They do not freeze because they are made of concrete.,c: They tend to freeze after the rest of the road does.""","""a""","""According to the DMV handbook, 'Bridges and overpasses tend to freeze before the rest of the road.'"""
3,,,You must file a report of a traffic accident occurring in California when:,"""a: Your vehicle fails a smog test.,b: You are involved in a collision and there is an injury.,c: You change your insurance company.""","""b""","""The DMV handbook states on page 77, 'You must report it to DMV within 10 days if: - The collision caused more than $1,000 in damage to property. - Anyone was injured or killed. This applies even if the injuries were minor.'"""
3,,,If weather or light conditions require you to have your lights on while driving:,"""a: Use your parking lights.,b: Use your high beams.,c: Use your low beams.""","""c""","""According to page 11, 'Use your headlights: ...If you need to use your windshield wipers due to fog, rain, or snow, you must turn on your low-beam headlights.'"""
3,,,A solid yellow arrow on a traffic signal means:,"""a: You should speed up so you can make the turn before the light changes.,b: You do not need to signal to turn from the indicated lane.,c: You should prepare to stop and yield the right-of-way to oncoming traffic.""","""c""","""A yellow arrow means the protected turning time is ending. The signal will change soon. If you cannot stop safely or you are already in the intersection, cautiously complete your turn. Pay attention to the next signal. It could be a: - Green or red traffic signal light. - Red arrow."""
3,,,You exit the freeway on a ramp that curves downhill. You should:,"""a: Slow to a safe speed before the curve.,b: Slow to the posted speed limit for the freeway.,c: Wait until you have entered the curve to begin braking.""","""a""","""You should always slow down before entering a curve, especially one that is downhill. 'Slow down as you approach intersections and curves. For sharp curves, slow down as you approach and move through.'"""
2,,,"If there is no crosswalk and you see a pedestrian crossing your lane, you should:","""a: Make sure the pedestrian can see you before proceeding.,b: Cautiously drive around the pedestrian.,c: Stop and let the pedestrian finish crossing.""","""c""","""Pedestrians always have the right-of-way, even in unmarked crosswalks. 'Before entering an intersection, look left, right, and ahead to check for vehicles, bicyclists, and pedestrians. Be prepared to slow down and stop if necessary. Pedestrians always have the right-of-way.'"""
2,,,Only ____ can reduce blood alcohol content (BAC) and alcohol's effects on the body.,"""a: Drinking caffeine,b: Eating foods high in fat,c: Time""","""c""","""The DMV handbook states that 'Only time can reduce blood alcohol content (BAC) and alcohol's effects on the body.'"""
2,,,You must file a report of a traffic accident occurring in California when:,"""a: Your vehicle fails a smog test.,b: You are involved in a collision and there is an injury.,c: You change your insurance company.""","""b""","""The DMV handbook states on page 77, 'You must report it to DMV within 10 days if: - The collision caused more than $1,000 in damage to property. - Anyone was injured or killed. This applies even if the injuries were minor.'"""
2,,,"On a freeway, drivers should look farther ahead than they normally would on a city street","""a: Because it takes 500 feet to stop a vehicle on a freeway,b: In order to spot potential hazards and dangers ahead,c: Because there are multiple lanes""","""b""","""The DMV handbook states that 'To give yourself time to react, avoid last minute moves and hazards, always keep your eyes moving and scan the road at least 10 seconds ahead of your vehicle.'"""
2,,,The three-second rule applies to the space ______ of your vehicle.,"""a: To the sides,b: Ahead,c: In the back""","""b""","""The 'three-second rule' is a driving rule that helps you estimate how closely you should follow other vehicles.  'When the vehicle in front of you passes a certain point, such as a sign, count three seconds. If you pass the same point before you finish counting, you are following too closely.'"""
2,,,"When entering the interstate on a short entrance ramp where there is no acceleration lane, you should:","""a: Immediately enter the far-right traffic lane on the interstate and speed up to match the flow of traffic.,b: Use the shoulder of the main road to get up to the speed of traffic.,c: Speed up and enter the interstate only after you have identified a gap in traffic.""","""c""","""The DMV handbook states, 'When you enter a highway, you will need to...Be at or near the speed of traffic...Merge into highway traffic when safe to do so. Do not stop unless absolutely necessary.'"""
2,,,You may make a left turn on a red light only from a:,"""a: One-way street onto a two-way street.,b: One-way street onto a one-way street.,c: Two-way street onto a one-way street.""","""b""","""You may turn left against a red light when you are turning from a one-way street onto a one-way street. Make sure there is no sign prohibiting the turn. Yield to other vehicles, pedestrians, or bicyclists who have a green light. Look both ways and turn when it is safe."""
2,,,Which of these statements is true about drugs and driving?,"""a: Any prescription drug is safe to use if you don't feel drowsy.,b: Even over-the-counter drugs can impair your driving.,c: Only illegal drugs can impair your driving.""","""b""","""The DMV Handbook states that 'The law does not see a difference between illegal drugs and medications you get from a doctor or pharmacy. They can all affect your ability to drive safely and react to what you see and hear.'"""
2,,,"You must stop at the intersection ahead. Just before the intersection, you have to cross railroad tracks. You should stop before you cross the railroad tracks when","""a: You don’t have room to completely cross the tracks,b: The crossing is located in a city or town with frequent train traffic,c: You transport two or more children in a passenger vehicle""","""a""","""According to the DMV handbook, 'Never stop on the railroad tracks. Wait and do not begin proceeding if you do not have enough room to completely cross the tracks. If you are on the tracks, you risk injury or death.'"""
2,,,A curb painted red means:,"""a: Loading zone.,b: The area is reserved for picking up or dropping off passengers.,c: No parking""","""c""","""According to the DMV Handbook, 'Red: No stopping, standing, or parking.'"""
2,,,"When a school bus is stopped on the road ahead to load or unload children, you must:","""a: Come to a complete stop until all the children have left the bus.,b: Come to a complete stop until the red lights stop flashing and the stop arm is withdrawn.,c: Change lanes""","""b""","""The DMV Handbook states that when a school bus is stopped with its red lights flashing and stop arm extended, you must come to a complete stop. This is to ensure the safety of children loading or unloading the bus."""
2,,,You are approaching a green traffic light and traffic is blocking the intersection. What is the best thing to do?,"""a: Partially enter the intersection to establish your right-of-way.,b: Don't enter the intersection until you can get completely across.,c: Continue into the intersection and wait for traffic to clear.""","""b""","""Even if you have a green light, do not start across the intersection if there are pedestrians or vehicles blocking your pathway.  It is against the law to stop or block an intersection where there is not enough space to completely cross before the traffic signal light turns red."""
2,,,"When passing, you should move back into the right lane when:","""a: You are one vehicle length ahead of the passed vehicle.,b: You can see both headlights of the passed vehicle in your rearview mirror.,c: You are 50 feet ahead of the passed vehicle.""","""b""","""According to the DMV Handbook, you should move back into the right lane when you can see both headlights of the passed vehicle in your rearview mirror. 'Signal and return to your original lane.'"""
2,,,"If a driver ahead of you has stopped at a crosswalk, you should","""a: Change lanes look carefully and pass,b: Tap your horn to let the driver know you are waiting,c: Stop then proceed when safe""","""c""","""You must stop for pedestrians at a crosswalk. 'Pedestrians always have the right-of-way. Here are some right-of-way rules at intersections:  - Green traffic signal light: Proceed with caution. Pedestrians have the right-of-way.'"""
2,,,You are preparing to exit the interstate. When should you start reducing your speed?,"""a: About halfway through the deceleration lane.,b: As you approach the deceleration lane.,c: Immediately upon entering the deceleration lane.""","""b""","""According to the DMV handbook, 'When in the proper lane, signal five seconds (approximately 400 feet) before you exit.' This indicates that you should start reducing your speed as you approach the deceleration lane, allowing ample time for a safe exit."""
2,,,"Unless otherwise posted, the speed limit in a residential area is:","""a: 20 mph.,b: 25 mph.,c: 30 mph.""","""b""","""The DMV handbook states, 'The speed limit is 25 mph, unless otherwise posted.' in the section about business or residential districts."""
2,,,You may drive off the paved roadway to pass another vehicle,"""a: If the shoulder is wide enough to accommodate your vehicle,b: If the vehicle ahead of you is turning left,c: Under no circumstances""","""c""","""According to the DMV Handbook, 'Never drive off the paved or main-traveled part of the road to pass.'"""
2,,,You want to pass a vehicle on the road. You should,"""a: Wait until you can see the entire vehicle in your rearview mirror before merging back into your lane,b: Use your horn to alert the other driver of your intention to pass,c: Pass only if there is enough space in the lane ahead of the vehicle,d: None of the above""","""c""","""The DMV handbook states, 'Unless you have enough space to return to your lane.' This means you should only pass if there is enough space in the lane ahead of the vehicle."""
2,,,If you are repeatedly convicted for traffic violations,"""a: DMV may impound your vehicle,b: Your driving privilege may be suspended by DMV,c: Both of the above""","""c""","""The DMV book states, ’DMV monitors your driver's record. As an adult or minor, if you get a traffic ticket and fail to appear (FTA) in court, DMV may suspend your driving privilege...As an adult, your license may be suspended if your driver's record shows one of the following point totals: 4 points in 12 months., 6 points in 24 months., 8 points in 36 months.'"""
2,,,Large trucks turning onto a street with two lanes in each direction:,"""a: May complete the turn in either of the two lanes.,b: Often have to use the left lane to complete the turn.,c: Must stay in the right lane at all times while turning.""","""b""","The DMV Handbook states on page 42: 'When a vehicle turns, the rear wheels follow a shorter path than the front wheels. The longer the vehicle, the greater the difference in the length of the turning path. This is why large vehicles and truck drivers must often swing wide to complete a turn.'"""
2,,,There is no crosswalk and you see a pedestrian crossing your lane ahead. You should:,"""a: Make eye contact with and then pass the pedestrian.,b: Slow down as you pass the pedestrian.,c: Stop and let the pedestrian finish crossing the street.""","""c""","""Pedestrians have the right-of-way in marked or unmarked crosswalks. If there is a limit line before the crosswalk, stop at the limit line and allow pedestrians to cross the street."""
2,,,You are driving and there are oncoming cars on your left and a row of parked cars on your right. You should steer:,"""a: Closer to the oncoming cars than the parked cars.,b: Closer to the parked cars than the oncoming cars.,c: A middle course between the oncoming and parked cars.""","""b""","""You should steer closer to the parked cars than the oncoming cars. 'If one danger is greater than the other, give more space to the most dangerous situation.' (Page 63)"""
2,,,When it is legal to drive off the road to pass another vehicle?,"""a: If the vehicle ahead is turning left.,b: It is not legal under any conditions.,c: If there are two or more one-way lanes.""","""b""","""According to the DMV Handbook, 'Never drive off the paved or main-traveled part of the road to pass.'"""
2,,,You want to park downhill on a two-way road and there is no curb. Which way do you turn your front wheels?,"""a: Straight ahead,b: Right,c: Left""","""b""","""When parking downhill on a two-way road with no curb, turn your front wheels to the right (toward the shoulder of the road). This will prevent your vehicle from rolling into oncoming traffic if the brakes fail.  'Turn the wheels so the vehicle will roll away from the center of the road if the brakes fail. Downhill: turn the wheels toward the curb.'"""
2,,,In which of the following scenarios should your wheels not be pointed straight ahead?,"""a: When waiting to make a left turn at a traffic light.,b: When parked on a hill or sloping driveway.,c: When parked on the side of a level roadway where there is no curb.""","""b""","""The DMV handbook states on page 27 that when parked on a hill or sloping driveway, your wheels should be turned so the vehicle will not roll into the street. This is to prevent the vehicle from rolling if the brakes fail."""
2,,,Which lights should be used if a driver is having trouble seeing other vehicles because of dust or smoke blowing across the roadway?,"""a: Parking lights.,b: Emergency lights.,c: Headlights.""","""c""","""The DMV handbook states on page 11, 'Use your headlights: When conditions (such as clouds, dust, smoke, or fog) prevent you from seeing other vehicles.'"""
2,,,In which lane should you end your turn when making a right turn?,"""a: Any lane free of traffic.,b: The lane closest to the left edge of the road.,c: The lane closest to the right edge of the road.""","""c""","""To make a right turn, you should end your turn in the lane closest to the right edge of the road. 'Do not swing wide into another lane of traffic.'"""
2,,,"If a motorist sees pedestrians in an upcoming crosswalk, what should the motorist do?","""a: Continue ahead. The motorist has the right-of-way.,b: Wait for the pedestrians to cross the street.,c: Pull to the right and go around the pedestrians.""","""b""","""Pedestrians have the right-of-way in marked or unmarked crosswalks. 'If there is a limit line before the crosswalk, stop at the limit line and allow pedestrians to cross the street.'"""
2,,,"If a truck or bus is making a right turn where you also need to make a right turn, you should:","""a: Quickly turn before the truck or bus is able to.,b: Wait until the truck or bus turns before you turn.,c: Squeeze between the truck or bus and the curb.""","""b""","""The DMV handbook states that when turning right, you should drive close to the right edge of the road.  It also states that when turning right from a one-way street onto a one-way street, you should start the turn in the far-right lane.  This means you should wait for the truck or bus to turn before you turn, rather than quickly turning before them or squeezing between them and the curb."""
2,,,"If you encounter an aggressive driver, you should:","""a: Challenge them.,b: Get out of their way.,c: Speed up.""","""b""","""The best course of action when encountering an aggressive driver is to get out of their way.  'If a tailgater is behind you. Maintain your course and speed. Then, when safe to do so, merge right to change into another lane and allow the tailgater to pass.'"""
2,,,What should you do to make a right turn at an upcoming intersection?,"""a: Merge into the bicycle lane before making the turn.,b: Wait until the bicycle lane ends then make the turn.,c: Make the turn from your current lane and do not enter the bicycle lane.""","""a""","""To make a right turn, drive close to the right edge of the road. If a designated right turn lane is available, enter at the opening. You can drive in a bike lane within 200 feet from the turn. Check for bicyclists in your blind spots."""
2,,,You must use your seat belt,"""a: Unless you are riding in a vehicle built before 1978,b: Unless you are riding in a limousine,c: If the vehicle is equipped with seatbelts""","""c""","""The DMV handbook states 'You and your passengers must wear seat belts. You can get a ticket if you do not.'"""
2,,,"If your car becomes disabled while on the highway, you should:","""a: Stop in the right lane.,b: Park with all four wheels off the traveled highway,c: Stop where you are.""","""b""","""According to the DMV handbook, 'If your vehicle stops working on the freeway: 1. Safely pull over to the right shoulder. 2. Exit on the right side so you are away from traffic if you must get out of the vehicle.'"""
2,,,"Once in the roundabout, drivers travel","""a: In a counter-clockwise direction,b: In a clockwise direction,c: In both directions""","""a""","""In a roundabout, traffic travels in one direction around a central island.  'Travel in a counter-clockwise direction. Do not stop or pass.'"""
2,,,"Driving so slowly as to interfere with normal or reasonable flow of traffic, except when necessary for safety, is","""a: A violation of the law,b: The right of any driver,c: Legal but not advisable""","""a""","""The DMV Handbook states: 'You must drive slower when there is heavy traffic or bad weather. At the same time, you should not block normal and reasonable traffic flow by driving too slowly. If you drive faster or slower than the speed limit, you may be cited.'"""
2,,,"When being followed by a tailgater, which of the following will help you avoid being hit from behind?","""a: Merging into another lane,b: Decreasing your following distance,c: Changing lanes frequently""","""a""","""To avoid a tailgater, you can merge into another lane when it is safe. 'Maintain your course and speed. Then, when safe to do so, merge right to change into another lane and allow the tailgater to pass.'"""
2,,,If you parallel park facing downward on a hill:,"""a: Turn your wheels sharply toward the side of the road.,b: Turn your wheels away from the side of the road.,c: Keep your wheels straight.""","""a""","""To park on a hill headed downhill, turn your front wheels into the curb or right toward the side of the road."""
2,,,"If you park facing uphill where there is no curb, set the parking brake and:","""a: Turn your wheels toward the edge of the road.,b: Turn your wheels away from the edge of the road.,c: Keep your wheels facing straight.""","""a""","""As quoted in the DMV handbook: 'Headed either uphill or downhill when there is no curb: Turn the wheels so the vehicle will roll away from the center of the road if the brakes fail. Downhill: turn the wheels toward the curb.'"""
2,,,"When approaching an intersection that is controlled by a flashing red traffic signal, you must:","""a: Come to a complete stop,b: Reduce your speed and proceed with caution.,c: Come to a complete stop and remain stopped as long as the light is red.""","""a""","""A flashing red traffic signal light means STOP. After stopping, you may go when it is safe."""
2,,,Driving under the influence of any medication which impairs your driving is permitted:,"""a: Under no circumstances.,b: If you don't feel drowsy.,c: If it is prescribed by a physician.""","""a""","""It is illegal to drive under the influence of any drug that affects your ability to drive safely.  'The law does not see a difference between illegal drugs and medications you get from a doctor or pharmacy. They can all affect your ability to drive safely and react to what you see and hear.' (Page 72)"""
2,,,"If pedestrians are illegally crossing in the middle of the street instead of in a crosswalk, you:","""a: Must stop for them.,b: Do not have to stop for them.,c: Should honk your horn at them.""","""a""","""Even though they are crossing illegally, you must still stop for them.  'When there is a pedestrian crossing a roadway with or without a crosswalk, you **must** use caution, reduce your speed, or stop to allow the pedestrian to safely finish crossing.'"""
2,,,"At a red traffic light with a green arrow, you may proceed in the direction of the arrow if:","""a: You first come to a complete stop.,b: You wait until the light changes.,c: You are in the proper lane and the roadway is clear.""","""c""","""A green arrow means GO in the direction the arrow is pointing. The green arrow allows you to make a protected turn. Oncoming vehicles are stopped by a red traffic signal light. """
2,,,Various traffic control devices in construction and maintenance work areas are the color:,"""a: Red.,b: Orange.,c: Yellow.""","""b""","""Traffic control devices in construction and maintenance work areas are typically orange. The DMV Handbook states:'Highway Construction and Maintenance Signs'. The signs shown in the image have black lettering and symbols on an orange background."""
2,,,A safety zone is a specially marked area for passengers to get on or off buses or trolleys. You may not drive through a safety zone:,"""a: Only when a bus or trolley is present.,b: Only when a bus or trolley is unloading passengers.,c: At any time or for any reason.""","""c""","""The DMV handbook states 'Safety zones are spaces set aside for pedestrians waiting for buses, streetcars, and trolleys. Safety zones are marked by raised buttons or markers on a road. Do not drive through a safety zone under any condition.'"""
