chapter,section,sub-section,question,options,correct-answer,note
1,,,"If traffic light is red, but a police officer or fire fighter on duty tells you to go ahead, you should","""a: Wait for the green light,b: Do as he or she tells you,c: Report him or her to police""","""b""","""Obey any direction, order, or signal given by a law enforcement officer, or firefighter. Follow their orders even if they conflict with existing signs, signals, or laws."""
1,,,"When driving on a multi-lane street with two-way traffic, you should:","""a: Drive alongside the other vehicles so the drivers can see you.,b: You should drive ahead of or behind the other vehicles.,c: It is safest to drive in the lane next to the center line.""","""b""","""The DMV handbook states that you should drive ahead or behind the other vehicles to avoid collisions"""
1,,,Which of the following increases your chances of being in a collision?,"""a: Looking over your shoulder while making lane changes,b: Continuously changing lanes to pass other vehicles,c: Adjusting your rearview mirror before you start driving""","""b""","""Continuously changing lanes to pass other vehicles increases the risk of collision.  'Stay in one lane as much as possible. Do not weave in and out of traffic. Last minute lane or direction changes may increase the risk of collisions.'"""
1,,,"If you become angry or upset, you should","""a: Go for a drive to forget your problems,b: 'Cool off' before driving,c: Control your emotions while driving""","""b""","""The DMV Handbook emphasizes the importance of controlling your emotions while driving, stating: 'If you become angry or upset, you should 'cool off' before driving.'"""
1,,,"When you want to change lanes, you should never:","""a: Move into another lane while within an intersection.,b: Check your blind spot by looking over your shoulder.,c: Check for other drivers moving into the same lane.""","""a""","""The DMV handbook states that 'Once you start moving through an intersection, keep going. If you start to make a turn, follow through.' (page 14) It is not safe to change lanes within an intersection as other vehicles may be approaching or already in the intersection."""
1,,,"Before switching on the ignition, you should:","""a: Buckle your safety belt.,b: Be sure all passengers have buckled their safety belts.,c: Both of the above.""","""c""","""The DMV handbook states that drivers should 'buckle up' and make sure that their 'passengers must wear seat belts.'"""
1,,,BAC is,"""a: The acronym for Beer Accumulation,b: The number of ounces of alcohol in your blood,c: The percentage of alcohol in your blood""","""c""","""The DMV handbook defines BAC as 'Your BAC is the amount of alcohol in your blood.'"""
1,,,A driver should:,"""a: Stare directly in front of their car.,b: Only focus on the middle of the road.,c: Watch beside""","""c""","""To drive safely, you need to know what is around you. 'To drive safely, you need to know what is around you.' DMV handbook pg. 57."""
1,,,"Left sign or the lane and sign should be used to warn of the reduction in the number of traffic lanes in the direction of travel on a multi lane highway. When parking uphill on a 2 way street with no curb, your front wheels should be","""a: Turn to the left toward the street,b: Turn to the right away from the street,c: Parallel with the pavement,d: Turn the wheels toward the curb""","""b""","""To prevent rolling downhill when parked on a hill with no curb, turn your front wheels to the right away from the street. 'Headed uphill: Turn your front wheels away from the curb (left - towards the center of the road) and let your vehicle roll back a few inches. The wheel should gently touch the curb. '"""
1,,,"At a red traffic light with a green arrow, you may proceed in the direction of the arrow if:","""a: You first come to a complete stop.,b: You wait until the light changes.,c: You are in the proper lane and the roadway is clear.""","""c""","""A green arrow means GO in the direction the arrow is pointing. The green arrow allows you to make a protected turn. Oncoming vehicles are stopped by a red traffic signal light. """
1,,,You enter a designated turn lane to make a left turn at an upcoming intersection. There is oncoming traffic. You should:,"""a: Move to the left of the center lane.,b: Signal before you arrive at the intersection.,c: Turn your front wheels to the left to be prepared to turn.""","""b""","""Before making any turns, it is crucial to signal your intention to other drivers. The DMV handbook states, 'Start signaling 100 feet before the turn.'"""
1,,,Which of these statements is true about drinking alcohol and driving?,"""a: If you can walk in a straight line after drinking,b: If you are under the legal blood alcohol concentration limit,c: Alcohol affects judgement""","""c""","""The DMV handbook states that 'Almost everyone feels negative effects of alcohol, even at levels lower than the legal limit.' This means that even if you're under the legal BAC limit, alcohol can still affect your judgment and make you an unsafe driver."""
1,,,Which of the following statements about blind spots is true?,"""a: They are eliminated if you have one outside mirror on each side of the vehicle.,b: Large trucks have bigger blind spots than most passenger vehicles.,c: Blind spots can be checked by looking in your rearview mirrors.""","""b""","""The DMV handbook states that large vehicles and truck drivers have a better view in front of them and bigger mirrors, but they also have large blind spots, also called No Zones.  'In these areas, your vehicle can disappear from a large vehicle or truck driver's view. If you cannot see the truck's side mirrors, the truck driver cannot see you.'"""
1,,,"When a hazard is seen ahead, reaction distance","""a: Equals total stopping distance minus perception distance,b: Is how far a vehicle will continue to travel in ideal conditions before the driver hits the brakes,c: Is the sum of perception distance and braking distance""","""c""","""The reaction distance is the distance your vehicle will travel while you perceive the hazard and begin to react. It is the sum of the perception distance and the braking distance.  'To give yourself time to react, avoid last minute moves and hazards, always keep your eyes moving and scan the road at least 10 seconds ahead of your vehicle.'"""
1,,,A broken yellow line beside a solid yellow line indicates that:,"""a: Passing is permitted from the lane next to the solid yellow line.,b: Passing is not permitted from either direction.,c: Passing is permitted from the lane next to the broken yellow line.""","""c""","""A broken yellow line indicates you may pass if the broken line is next to your driving lane. Only pass when it is safe. """
1,,,You must show proof of insurance to law enforcement:,"""a: Only if you are involved in a collision.,b: If you are involved in a collision or stopped for a citation.,c: Only if you are stopped and cited.""","""b""","""The DMV handbook states on page 29, 'The driver of a stopped vehicle must produce a driver's license, proof of insurance, and vehicle registration when stopped by law enforcement.' This implies that proof of insurance is required during a traffic stop, not just when involved in a collision."""
1,,,Dim your headlights for oncoming vehicles or when you are within 300 feet of a vehicle:,"""a: That you are approaching from behind.,b: Approaching you from behind.,c: That you have already passed.""","""a""","""The DMV handbook states on page 11, 'Dim your high-beam headlights to low beams within 500 feet of a vehicle coming toward you or within 300 feet of a vehicle you are following.'"""
1,,,"The traffic light is green and you want to drive straight through an intersection. If a car is already in the intersection and is making a turn, you must","""a: Enter the intersection and then stop,b: Drive through the intersection. You have the right-of-way,c: Let that car complete its turn before you enter the intersection""","""c""","""Even if you have a green light, you must still yield to vehicles, bicyclists, or pedestrians already in the intersection. 'You should still stop for any vehicle, bicyclist, or pedestrian in the intersection. Only proceed if you have enough space without creating a danger to any oncoming vehicle, bicyclist, or pedestrian.' """
1,,,How can you prevent fatigue on a long trip?,"""a: Get enough sleep,b: Plan to drive long trips with a companion,c: All of the above""","""c""","""Page 9 of the DMV handbook states 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.'"""
1,,,"If you encounter an aggressive driver, you should:","""a: Challenge them.,b: Get out of their way.,c: Speed up.""","""b""","""The best course of action when encountering an aggressive driver is to get out of their way.  'If a tailgater is behind you. Maintain your course and speed. Then, when safe to do so, merge right to change into another lane and allow the tailgater to pass.'"""
1,,,How many days do you have to report to DMV the sale or transfer of your vehicle?,"""a: 5 days,b: 10 days,c: 20 days""","""a""","""According to page 79, 'When you sell a vehicle, you must notify DMV within five days by completing a Notice of Transfer and Release of Liability at dmv.ca.gov/nrl.'"""
1,,,What can you do to reduce road rage?,"""a: Always signal your intention when changing lanes.,b: Talk on your cell phone while driving.,c: Use your horn frequently.""","""a""","""Signaling your intention when changing lanes helps prevent other drivers from getting frustrated and reduces the chance of road rage. The DMV Handbook states that 'You should signal: At least 100 feet before you turn. Before every lane change.'"""
1,,,You may drive off the paved roadway to pass another vehicle,"""a: If the shoulder is wide enough to accommodate your vehicle,b: If the vehicle ahead of you is turning left,c: Under no circumstances""","""c""","""According to the DMV Handbook, 'Never drive off the paved or main-traveled part of the road to pass.'"""
1,,,"When coming to a corner where there is a stop sign, you must first stop","""a: After crossing the crosswalk,b: Out far enough to see cross traffic,c: In back of the crosswalk""","""c""","""According to page 35, 'Make a full stop before entering the crosswalk or at the limit line. If there is no limit line or crosswalk, stop before entering the intersection.'"""
1,,,What should you do when there is a school bus ahead that starts flashing yellow warning lights?,"""a: Slow down and prepare to stop.,b: Stop immediately and remain stopped.,c: Cautiously pass the school bus on the left.""","""a""","""When a school bus flashes yellow lights, you must slow down and prepare to stop. 'Some school buses flash yellow lights when preparing to stop to let children off the bus. The yellow flashing lights warn you to slow down and prepare to stop.'"""
1,,,If you are driving on a highway next to a single broken white line marking:,"""a: You cannot cross the line to pass.,b: You may cross the line to pass and change lanes.,c: You may only cross the line to change lanes if you are in the left lane.""","""b""","""A broken white line indicates that you may cross the line to pass or change lanes."""
1,,,It is illegal for a person 21 years of age or older to drive with a blood alcohol concentration (BAC) that is ____ or higher.,"""a: 0.08% -- Eight-hundredths of one percent,b: 0.10% -- One-tenth of one percent,c: 0.05% -- Five-hundredths of one percent""","""a""","""The correct answer is 0.08%.  This information can be found on page 73 of the DMV handbook. The DMV handbook states, 'It is illegal for you to drive if you have a BAC of: 0.08% or higher if you are over 21 years old.'"""
1,,,When a bicyclist is making a left turn:,"""a: They may use the left lane.,b: They may cut through all lanes.,c: They may wait on the side of the road.""","""a""","""According to the DMV handbook, 'Bicyclists may… make left and right turns in the same way drivers do, using hand signals and turn lanes.'"""
1,,,Blue traffic signs offer information on:,"""a: Motorist services.,b: Construction and maintenance.,c: Mileage information""","""a""","""According to the DMV handbook on page 36, 'White Rectangular Sign' communicates many important rules you must obey."""
1,,,Carpool lanes are marked with a diamond symbol. To use these lanes during the special hours shown on the signs you must,"""a: Be driving a van or bus,b: Drive at the speed limit or have your lights on,c: Have the minimum number of passengers shown on the signs.""","""c""","""Carpool lanes are marked with a diamond symbol and the words 'Carpool Lane'. 'To use an HOV lane, one of these must apply: You have a certain number of people in your vehicle. There will be signs at the on-ramp or along the road to tell you the minimum number of people. Road signs also list the hours when the HOV rules apply.'"""
1,,,Make room for cars that are entering the freeway by:,"""a: Slowing down.,b: Merging into a different lane.,c: Maintaining your speed and position.""","""a""","""According to page 22, 'Make space for vehicles entering freeways, even if you have the right-of-way.'"""
1,,,The first thing that alcohol effects is:,"""a: Vision.,b: Judgment.,c: Balance.""","""b""","""The DMV handbook states that alcohol can 'affect your ability to drive safely and react to what you see and hear.'"""
1,,,A solid yellow line on your side of the centerline means:,"""a: Reduce your speed.,b: Traffic light ahead.,c: Do not pass.""","""c""","""A single solid yellow line marks the center of a road with two-way traffic. Do not pass a vehicle in front of you if there is only one lane of traffic going your direction and a solid yellow line on your side of the road."""
1,,,Is it legal to use your horn in residential areas?,"""a: Yes as long as you use it during the day,b: It is only legal if you live in the residential area,c: No it is not legal to use the horn in residential areas unless it is an emergency""","""c""","""The DMV handbook states on page 10: 'Use your vehicle's horn to let other drivers know you are there or warn others of a hazard. Use your horn to: - Avoid collisions. - Alert oncoming traffic on narrow mountain roads where you cannot see at least 200 feet ahead.'"""
1,,,Which child would require a child passenger restraint system?,"""a: A 9-year-old who is 4 feet 10 inches tall,b: A 10-year-old who is 5 feet 3 inches tall,c: A 7-year-old who is 4 feet 8 inches tall""","""c""","""According to The DMV handbook, children under 8 years old, or who are less than 4 feet 9 inches tall, must be secured in a child passenger restraint system in a rear seat. Option C is the only option that meets this criteria."""
1,,,It is illegal to leave a child age six or younger unattended in a vehicle on a hot day:,"""a: Even if they are secured in a child passenger restraint system.,b: If they are supervised by a person twelve years of age or older.,c: Only if the key is in the ignition.""","""a""","""The DMV handbook states 'It is illegal to leave a child who is six years old or younger unattended in a vehicle...' and 'A child may be left under the supervision of a person who is at least 12 years old.'"""
