section-num,section-name,question,options,correct-answer,note,difficulty,handbook-page,handbook-section
1,Right-of-Way,What should you do when faced with an oncoming car and a bicyclist on a narrow road?,"a: Pull onto the shoulder.,b: Split the difference.,c: Let the car pass before passing the bike.",c,"On a narrow road with oncoming traffic and a bicyclist, you should not try to squeeze between them. Slow down and let the oncoming car pass first, then move over safely to pass the bicyclist when you have enough space.",,21,Chapter 4: Right-of-Way
1,Right-of-Way,When being tailgated:,"a: Move to the right if possible, b: Slow down gradually when clear to encourage passing, c: Avoid abrupt slowing, d: All of the above",d,"When someone is following too closely, you should create a safer situation for yourself and others. If possible, move to the right so the tailgater can pass. If you need to adjust your speed, slow down gradually when the way is clear so they are encouraged to go around you. Avoid sudden braking or abrupt slowing, which can cause a rear‑end collision.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When hearing or seeing an emergency vehicle approaching, you should:","a: Stop immediately, b: Drive to the right and stop, c: Proceed slowly to let it pass",b,"When an emergency vehicle with flashing lights and siren approaches, you must pull over to the right side of the road and stop, if it is safe to do so. Stopping on the right creates a clear path in the center or left for the emergency vehicle to pass quickly and safely. Continue only after it has passed and the way is clear.",,22,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do when an emergency vehicle with sirens or lights approaches?,"a: Pull to the right and stop.,b: Pull to the right and slow down.,c: Pull to the right and use four-way flashers.",a,"When an emergency vehicle using sirens or flashing lights approaches from any direction, you must yield the right-of-way by pulling as close as safely possible to the right edge of the road and stopping until it has passed, unless directed otherwise by law enforcement.",,23,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do when wanting to turn left at an intersection with heavy oncoming traffic?,"a: Use the next intersection.,b: Wait at the crosswalk.,c: Wait in the intersection’s center.",c,"When turning left with a green light and heavy oncoming traffic, you typically pull into the intersection, keep your wheels straight, and wait for a safe gap to complete the turn. Keeping the wheels straight helps prevent being pushed into oncoming traffic if you are hit from behind. In some states, however, you are required to wait behind the stop line until you can complete the turn, so always follow your state’s specific rules.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,A driver entering public traffic from a driveway or private road:,"a: Has the right-of-way, b: Must yield to drivers on the public road, c: Can force their way into traffic",b,"A driver entering a public road from a driveway, alley, or private road must yield to all traffic and pedestrians already on the public road. You may enter only when it is safe and will not force others to slow or change lanes suddenly.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do when a traffic light turns green?,"a: Yield to pedestrians still in the intersection.,b: Accelerate quickly.,c: Back up slowly.",a,"When a traffic light turns green, you may proceed only after making sure the intersection is clear and yielding to any pedestrians still in the crosswalk and any vehicles still in the intersection. A green light means go if it is safe, not that you should accelerate quickly or move in reverse.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When turning onto a one-way street, drivers should:","a: Turn into the right lane.,b: Turn into the left lane.,c: Turn into the proper lane for your turn, usually the nearest available lane in your direction of travel.",c,"When turning onto a one‑way street, you must turn into the lane that is legally required for your movement, usually the nearest available lane in the direction you are turning. This keeps traffic organized and predictable. You may then change lanes when it is safe and legal to do so.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do when approaching a T intersection?,"a: Yield to cross traffic.,b: Proceed with the right-of-way.,c: Force your way into traffic.",a,"At a T intersection, the driver on the road that ends must yield to traffic on the through road. You must wait until cross traffic is clear and it is safe before entering or crossing the intersection.",,22,Chapter 4: Right-of-Way
1,Right-of-Way,How should you merge onto a freeway?,"a: Proceed slowly waiting for an opening., b: Use the ramp to accelerate to near freeway speed and merge when safe., c: Use hazard lights until merged.",b,"When entering a freeway, use the entrance ramp and acceleration lane to reach the speed of traffic, then merge when there is a safe gap, yielding to vehicles already on the freeway. Entering too slowly can force other drivers to brake or swerve, increasing the risk of a collision.",,22,Chapter 4: Right-of-Way
1,Right-of-Way,"If a transit vehicle signals to re-enter the main road after a stop, you must:","a: Honk to alert them, b: Move to the left lane, c: Yield",c,"When a transit bus signals that it is pulling out from a stop back into the lane, you must yield and allow it to re-enter when it is safe. Slowing or stopping if needed helps the bus merge smoothly and protects passengers who are boarding or exiting.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When turning onto a one-way street, what should you do?","a: Always turn into the far right lane.,b: Always turn into the far left lane.,c: Turn into the nearest lane that allows you to merge safely and interferes least with other traffic.",c,"When turning onto a one‑way street, you should enter the lane that allows you to merge smoothly and safely with traffic, usually the nearest available lane in your direction that causes the least disruption. This helps prevent sudden lane changes and conflicts with other vehicles.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do when moving from the right lane to the left on a multilane highway?,"a: Check your mirrors for traffic behind and beside you., b: Look over your left shoulder to check your blind spot., c: Signal, check mirrors, and look over your left shoulder before moving., d: Change lanes if you do not see a car directly next to you.",c,"Before changing lanes on a multilane highway, you must use all three checks: look in your rearview and side mirrors to see traffic behind and beside you, signal your intention, and then quickly look over your shoulder in the direction of the lane change to check your blind spot. Only move over when the lane is clear and it is safe.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When seeing a vehicle entering your lane from a freeway ramp, you should:","a: Maintain a steady speed and position, adjusting or changing lanes if safe to allow merging., b: Honk to force them to slow down., c: Ignore them because you always have priority.",a,"On most freeways, through traffic has the right‑of‑way and is not required to leave its lane for merging vehicles. You should maintain a safe, steady speed so the merging driver can judge gaps accurately. If it is safe, you may change lanes or slightly adjust speed to help them merge smoothly, but you should not make sudden or unpredictable moves.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When an emergency vehicle with sirens or flashing lights approaches, you must:","a: Slow down until it passes, b: Drive to the right and stop, c: Signal for it to pass",b,"When an emergency vehicle with flashing lights and/or siren approaches, you must yield the right‑of‑way by pulling as close as safely possible to the right edge of the road and stopping until it has passed, unless directed otherwise by officials.",,23,Chapter 4: Right-of-Way
1,Right-of-Way,Must you pull over for an emergency vehicle?,"a: On most roads, yes, but not when the emergency vehicle is on the opposite side of a divided highway with a physical median., b: Only if it’s directly behind you in your lane., c: Only if it’s approaching from the opposite direction on a two-lane road.",a,"When an emergency vehicle using sirens and flashing lights approaches from any direction on a two-way road, you must pull over to the right edge and stop until it passes, unless directed otherwise by police. On divided highways with a physical median, you generally do not stop for emergency vehicles traveling on the opposite side, because they are separated from your lanes by the median.",difficult,22,Chapter 4: Right-of-Way
1,Right-of-Way,"On a narrow road meeting an oncoming vehicle, you must:","a: Pull off and stop.,b: Allow the oncoming vehicle half the road.,c: Demand the other vehicle pull over.",a,"On very narrow roads where two vehicles cannot safely pass, the driver who has the better opportunity to pull off should do so and stop, allowing the oncoming vehicle to pass. You must not insist on taking half the road if there is not enough room for both vehicles to pass safely.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When a driver behind you wants to pass, you should:","a: Speed up, b: Maintain your speed if it is safe and legal, c: Slow down slightly to create more space for the passing vehicle to return safely",b,"When another driver wants to pass you, you should maintain your current speed and stay in your lane so the passing driver can judge gaps and complete the pass safely. Do not speed up or make sudden moves. If road or traffic conditions require it, you may slow slightly, but the primary rule is to hold a steady speed.",,23,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do when entering a street from a driveway?,"a: Drive slowly to clear a path.,b: Honk to alert others.,c: Stop and yield to traffic and pedestrians.",c,"When entering a street from a driveway, alley, or private road, you must stop before the sidewalk or edge of the roadway and yield to all pedestrians and vehicles already on the road. Only enter when it is safe and you will not force others to slow or stop.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do when entering a roadway from a private road?,"a: Honk to warn other drivers.,b: Stop partially on the roadway to signal entry.,c: Yield to pedestrians and traffic.",c,"When entering a roadway from a private road, driveway, or alley, you must stop if necessary and yield the right-of-way to all pedestrians and vehicles already on the main road. Traffic on the public roadway has priority, so you only enter when it is safe and will not force others to slow or change lanes suddenly.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,If two drivers arrive simultaneously at a four-way stop:,"a: The driver on the right has priority, b: The driver on the left has priority, c: One may proceed without stopping",a,"At a four-way stop where two vehicles arrive at the same time, the driver on the right has the right-of-way. The driver on the left must yield, which helps keep traffic moving in an orderly and predictable way.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do if opposing traffic blocks your view while waiting to turn left?,"a: Accelerate when the first lane clears.,b: Wait until all lanes are clear.,c: Wait for an oncoming driver’s signal.",b,"When turning left across oncoming traffic, you must wait until there is a safe gap in all lanes you need to cross or enter. If your view is blocked, do not move into the intersection blindly or rely on another driver’s signal. Only start your turn when you can clearly see that all lanes are free of oncoming vehicles and it is safe to complete the turn.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"To merge onto a crowded freeway, you should:","a: Use mirrors and check blind spots, b: Use the acceleration lane to match traffic speed, c: Yield to freeway traffic, d: All of the above",d,"When merging onto a crowded freeway, you must use your mirrors and check blind spots, use the acceleration lane to reach the speed of freeway traffic, and yield to vehicles already on the freeway. Freeway traffic has the right-of-way, so you adjust your speed and position to merge safely without forcing others to brake suddenly.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,Who must you yield to when turning left?,"a: Drivers already in the intersection., b: Oncoming traffic., c: Pedestrians in the intersection., d: Oncoming traffic, pedestrians, and drivers already in the intersection.",d,"When turning left, you must yield the right‑of‑way to oncoming traffic, pedestrians in the crosswalk, and any vehicles already in the intersection. You may only complete your turn when the way is clear and it is safe.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do when a vehicle enters your lane from a freeway ramp?,"a: Adjust your speed or change lanes if safe to make room., b: Honk to alert them., c: Ignore them as you have the right-of-way.",a,"Vehicles entering a freeway must yield to traffic already on the freeway, but safe driving means you should help create a smooth, safe merge. When a vehicle is entering your lane from a ramp, you should, when possible, adjust your speed or change lanes to make room. This reduces the chance of sudden braking or side‑swipe collisions and keeps traffic flowing safely.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,How should you merge into traffic on a crowded freeway?,"a: Check mirrors and blind spots.,b: Use the acceleration lane to match traffic speed.,c: Yield to freeway traffic already on the road and merge when there is a safe gap.",c,"Traffic already on the freeway has the right-of-way. When merging, use the acceleration lane to reach the speed of freeway traffic, check your mirrors and blind spots, and then merge only when there is a safe gap, yielding to vehicles already on the freeway.",,22,Chapter 4: Right-of-Way
1,Right-of-Way,When must you yield to other drivers?,"a: When entering from a garage, alley, or driveway.,b: When they’re on your right at an unmarked intersection.,c: When turning on a green light without a green arrow.",a,"You must yield to traffic and pedestrians when entering a roadway from a garage, alley, or driveway because vehicles already on the road have the right-of-way. At an unmarked intersection, you yield to vehicles on your right, not your left. A green arrow gives you the right-of-way for that protected movement, though you must still yield to pedestrians in the crosswalk.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When driving on a street and hearing a siren but not seeing the emergency vehicle, you should:","a: Keep driving until you see it, b: Pull to the curb and stop, c: Slow down and don’t stop",b,"Pull over and stop to ensure the emergency vehicle can pass safely, even if its location is unclear.",difficult,22,Chapter 4: Right-of-Way
1,Right-of-Way,"At an intersection with a yield sign, you should:","a: Always stop before entering, b: Slow down and yield to traffic and pedestrians, stopping if needed, c: Yield only to traffic on the left",b,"At a yield sign, you must slow down and be prepared to stop, but you are not required to stop if the way is clear. You must yield the right‑of‑way to any traffic or pedestrians already in or close to the intersection, stopping only when necessary to avoid interfering with them.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,A driver on a frontage road of a controlled-access highway must yield to a vehicle:,"a: Entering the frontage road from the highway, b: Leaving the frontage road to enter the highway, c: Both scenarios",a,"On a controlled‑access highway, vehicles already on the main lanes of the highway have the right‑of‑way. A driver on a frontage (service) road must yield to vehicles that are leaving the highway to enter the frontage road, because those vehicles are coming from the main traveled way. A driver on the frontage road does not automatically have to yield to vehicles that are entering the highway; those entering must yield to highway traffic.",,21,Chapter 4: Right-of-Way
1,Right-of-Way,When do you have the right-of-way when turning left?,"a: On a solid green light, after yielding to oncoming traffic and pedestrians., b: On a flashing yellow light, after yielding to oncoming traffic and pedestrians., c: On a green arrow pointing left, because oncoming traffic must stop.",c,"A green left-turn arrow is a protected signal that means oncoming traffic and pedestrians facing you have a red light, so you have the right-of-way to turn left if the intersection is clear. A solid green or flashing yellow light for a left turn requires you to yield to oncoming traffic, pedestrians, and bicyclists before turning, because they have the right-of-way in those situations.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you avoid when making a left turn?,"a: Failing to signal to other drivers., b: Cutting the corner., c: Failing to slow down.",b,"When turning left, you must turn into the correct lane without cutting across the center of the intersection or into oncoming lanes. Cutting the corner can put you into the path of oncoming traffic or vehicles turning from the opposite direction. You should always signal before turning and slow down to a safe turning speed.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When completing a left turn from a two-way street onto a one-way street, your car should end in:","a: The right lane, b: The center of the street, c: The left lane",c,"When turning left from a two-way street onto a one-way street, you must turn into the leftmost lane that is going in your direction. This keeps you in the lane closest to the center line and avoids cutting across lanes, which can cause conflicts with other vehicles.",,20,Chapter 4: Right-of-Way
2,"Signals, Signs, and Markers",Which light indicates to slow down and proceed cautiously at an intersection?,"a: Flashing yellow light.,b: Flashing red light.,c: Solid yellow light.",a,"A flashing yellow light means you must slow down and proceed through the intersection with extra caution. You do not have to stop, but you must be prepared to yield to pedestrians and other vehicles if needed.",,25,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",What does a broken yellow line on a two-lane road indicate?,"a: You’re on a two-way road.,b: You’re on a one-way road.,c: The road is under repair.",a,"A broken yellow line separates traffic moving in opposite directions on a two-way road. It also means you may pass another vehicle when it is safe and legal to do so, because traffic from the other direction is using the opposite side of the center line.",,31,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",What should you do when approaching railroad tracks?,"a: Slow down.,b: Look for trains.,c: Be prepared to stop.,d: All of the above.",d,"When approaching railroad tracks, you should slow down, look and listen for trains, and be prepared to stop. Never assume the tracks are clear, and be especially cautious if visibility is limited or warning devices are active.",,26,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers","At a railroad crossing, you must stop:","a: If a stop sign is posted, b: If a crossing gate is lowered, c: If crossing lights are flashing, d: All of the above",d,"You must stop at a railroad crossing when there is a stop sign, when the gate is lowered or lowering, or when the red warning lights are flashing. These controls indicate a possible or approaching train, and stopping prevents you from entering the tracks when it is unsafe.",,32,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",A stop sign is shaped like a(n:,"a: Rectangle, b: Square, c: Octagon",c,"A stop sign is always an octagon. This unique eight‑sided shape helps drivers recognize the sign’s meaning quickly, even from the back or in poor visibility, so they know they must come to a complete stop at the marked stop line, crosswalk, or before entering the intersection.",,26,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",A steady yellow light at an intersection indicates:,"a: Proceed, b: Yield to other vehicles, c: Slow down and prepare to stop",c,"A steady yellow light means the signal is about to turn red. You should slow down and prepare to stop before the intersection if you can do so safely. If you are too close to stop safely when it turns yellow, you may proceed with caution.",,25,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",What does a flashing yellow arrow at a traffic signal indicate?,"a: Merge into the lane the arrow points to.,b: Come to a complete stop.,c: Turn left after yielding to oncoming traffic and pedestrians.",c,"A flashing yellow left arrow means you may make the turn, but you must first yield to oncoming traffic and pedestrians. Oncoming vehicles with a green light have the right-of-way, so turn only when there is a safe gap.",,25,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",When may you cross solid yellow lines?,"a: To pass traffic in the same direction.,b: Only when making a left turn.,c: At any time.",b,"A solid yellow line generally means you may not pass. However, you may cross a solid yellow line when making a left turn into or out of a driveway, side road, or intersection, but only when it is safe and legal to do so.",,34,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",What should you do at a flashing red traffic light?,"a: Proceed only after coming to a complete stop and yielding to any crossing traffic.,b: Continue without stopping because you have the right-of-way.,c: Stop only if a police officer is present.",a,"A flashing red light is treated the same as a stop sign. You must come to a complete stop, yield to any pedestrians and crossing traffic, and then proceed only when it is safe.",,25,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",Highway markings:,"a: Are usually unimportant, b: Are only in construction zones, c: Provide information for drivers",c,"Highway markings are important visual guides that help drivers stay in the correct lane, know when it is safe or unsafe to pass, and anticipate changes such as merges, turns, or lane endings. They work together with signs and signals to keep traffic organized and safe.",,25,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",What should you do at an unmarked railroad crossing?,"a: Always stop completely.,b: Slow down and be ready to stop.,c: All crossings have signals, so this doesn’t apply.",b,"At an unmarked railroad crossing with no lights or gates, you must slow down, look and listen carefully in both directions, and be prepared to stop if a train is approaching. Not all crossings have signals, so you cannot assume the tracks are clear.",difficult,32,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",What should you do at a railroad crossing with a crossbuck but no gates or lights?,"a: Cross cautiously when no train is coming.,b: Turn down your radio to hear trains.,c: Wait for a flagger’s clearance.",a,"A crossbuck without gates or lights marks a railroad crossing where you must use extra caution. Slow down, look and listen carefully in both directions, and only cross when you are sure no train is coming and there is enough space to clear the tracks completely.",,32,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",Downward-facing triangular signs:,"a: Indicate school zones, b: Instruct drivers to yield, c: Mark construction zones",b,"A downward-facing triangle is the YIELD sign. It tells you to slow down, be prepared to stop, and let other vehicles, bicycles, or pedestrians go first if they have the right-of-way.",,26,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",You may drive around railroad crossing gates:,"a: After the train passes, b: Never, c: When lights stop flashing",b,"You must never drive around or under lowered railroad crossing gates. Lowered gates and flashing signals mean a train is approaching, and trains cannot stop quickly. You must wait until the gates are fully raised and the signals indicate it is safe before crossing.",,32,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",An End school zone sign indicates:,"a: A 20 mph speed limit, b: The end of a reduced speed school zone, c: A higher likelihood of pedestrians",b,"An End School Zone"" sign tells you that the special reduced school-zone speed limit no longer applies and you may resume the regular posted speed if conditions allow. However", children and pedestrians may still be present near schools,31,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",A red and white triangular sign at an intersection means:,"a: Yield to traffic and pedestrians, b: Look both ways while crossing, c: Come to a complete stop",a,"A red and white triangular sign is a yield sign. When you see this sign, slow down and be ready to stop. Yield the right-of-way to traffic and pedestrians already in or close to the intersection, and proceed only when it is safe.",,25,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",Where should you stop at an intersection with no stop line or crosswalk?,"a: No stop is required.,b: Slow down to check for traffic.,c: Stop at the point nearest the intersection where you can see approaching traffic without entering the roadway.",c,"At a stop sign with no marked stop line or crosswalk, you must still stop. Stop at the point nearest the intersection where you can see approaching traffic on the intersecting roadway, but before entering the intersection. This usually means stopping where you can see well down the cross street in both directions.",,30,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",What should you do at a steady red traffic light?,"a: Come to a complete stop.,b: Continue as you have the right-of-way.,c: Stop only if a police officer is present.",a,"A steady red light always means stop before the crosswalk or stop line. You must remain stopped until the light turns green, unless you are allowed to make a right turn on red (or left from a one‑way to a one‑way) after coming to a complete stop and yielding to traffic and pedestrians.",,25,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers","At an intersection with a flashing red light, you must:","a: Stop completely and proceed when safe, b: Turn right or left, c: Stop and wait for a green light",a,"A flashing red light means you must come to a complete stop, just as you would at a stop sign. After stopping, look for other vehicles and pedestrians, then proceed only when the intersection is clear and it is safe to go.",,25,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers",A flashing red traffic light has the same meaning as:,"a: A solid red light, b: A stop sign, c: A yield sign",b,"A flashing red light means you must stop completely, just as you would at a stop sign. After stopping, proceed only when the way is clear and it is safe, yielding to any traffic or pedestrians with the right‑of‑way.",,25,"Chapter 5: Signals, Signs, and Markers"
2,"Signals, Signs, and Markers","At a light rail intersection, you should always:","a: Look both ways before crossing tracks, b: Obey all traffic signals, c: Share the road with pedestrians and bicyclists, d: All of the above",d,"At light rail intersections, you must obey all traffic signals and signs, look carefully in both directions for approaching trains, and watch for and yield to pedestrians and bicyclists who may be crossing near the tracks.",,25,"Chapter 5: Signals, Signs, and Markers"
