section-num,section-name,question,options,correct-answer,note
2,Safe Driving Tips,What should a driver do if driving much slower than the speed limit?,"a: Always claim the right-of-way.,b: Prevent following cars from passing.,c: Pull off the road to let others pass.",c,"Driving significantly slower than traffic on a two-lane road requires pulling off to allow other vehicles to pass safely, unless conditions necessitate slow driving."
3,In Shape to Drive,What can impair a person’s ability to drive?,"a: Lack of sleep.,b: Any medication.,c: Alcohol.",c,"Alcohol, medications (legal or illegal), and lack of sleep can impair driving by affecting physical and mental conditions necessary for safe operation."
1,Rules of the Road,What does a red and white triangular sign at an intersection indicate?,"a: Always stop completely.,b: Slow down if an emergency vehicle is approaching.,c: Slow down and yield to traffic or pedestrians.",c,"A red and white triangular yield sign requires drivers to slow down and yield to vehicles or pedestrians in the intersection, stopping if necessary."
1,Rules of the Road,A red flashing traffic light is equivalent to:,"a: A yield sign.,b: A stop sign.,c: A solid red light.",b,"A red flashing signal requires a complete stop, like a stop sign, with drivers proceeding only when safe."
1,Rules of the Road,What does a steady red traffic signal require?,"a: Stop before entering the intersection.,b: Slow down and yield to other traffic.,c: Stop and look for danger before crossing.",a,"A steady red light means drivers must stop before entering the intersection, waiting until it turns green and the intersection is clear."
1,Rules of the Road,What does a regulatory sign with a red circle and slash indicate?,"a: Drivers must stop completely.,b: An action is prohibited.,c: Some drivers must yield.",b,A red circle with a slash over a black symbol on a regulatory sign indicates that the specified action is forbidden.
1,Rules of the Road,How should a seat belt be adjusted?,"a: Hidden beneath the seat.,b: Buckled snugly across your hip bones and lower abdomen.,c: Loose.",b,"Lap belts should be snug across the hip bones and lower abdomen, with shoulder belts allowing a fist’s width of space at the chest."
1,Rules of the Road,What does a single broken yellow line in the center of a two-lane road mean?,"a:Lanes move in the same direction,b:Lanes move in opposite directions,c:You lanes move in opposite directions",b,A single broken yellow line indicates that traffic moves in opposite directions and passing is allowed when safe.
1,Rules of the Road,What is a slow-moving vehicle emblem?,"a: A circular green sign.,b: A diamond-shaped yellow sign.,c: An orange triangular sign.",c,"A slow-moving vehicle emblem is a reflective orange triangle, indicating vehicles traveling at 25 mph or slower."
1,Rules of the Road,What does a solid white line in the center of a two-lane road indicate?,"a:Lanes move in opposite directions,b:Lanes move in the same direction,c:You lanes move in opposite directions",b,A solid white line indicates that traffic moves in the same direction and passing is prohibited.
1,Rules of the Road,What does a solid white line slanting to the left on the right edge of the highway show?,"a: You must turn left soon.,b: An intersection is ahead.,c: The road narrows ahead.",c,"A solid white line angling toward the center indicates that the road narrows ahead, marking the boundary between the lane and shoulder."
1,Rules of the Road,What does a solid yellow line on your side of the centerline mean?,"a: Pass with caution.,b: Do not pass.,c: Slow down.",b,A solid yellow line on your side of the centerline prohibits passing from your direction.
1,Rules of the Road,What is a speed limit?,"a: The suggested speed under ideal conditions.,b: The legal maximum or minimum speed under ideal conditions.,c: The legal maximum or minimum speed under dangerous conditions.",b,"A speed limit is the legal maximum or minimum speed under ideal conditions, though drivers must slow down in school or work zones or during unsafe conditions."
1,Rules of the Road,What does a speed restriction sign indicate?,"a: It’s blue with black lettering.,b: It can be ignored in bad weather.,c: It shows a recommended speed for curves or turns.",c,"Speed restriction signs, often attached to curve or turn warnings, recommend a safe speed that drivers should not exceed, especially in rainy, snowy, or icy conditions."
1,Rules of the Road,What does a steady green light at an intersection mean?,"a: Stop and check for traffic before proceeding.,b: Slow down and prepare to stop.,c: Drive through if the road is clear.",c,"A steady green light allows drivers to proceed through the intersection if clear, or turn unless prohibited, yielding to other vehicles or pedestrians."
1,Rules of the Road,What does a steady yellow light at an intersection indicate?,"a: Yield to other vehicles.,b: Slow down and prepare to stop.,c: Go through the intersection.",b,"A steady yellow light signals that a red light is imminent, requiring drivers to slow down and prepare to stop unless already in the intersection."
1,Rules of the Road,A steady yellow traffic signal indicates that a ____ light will soon appear.,"a: Steady red.,b: Flashing yellow.,c: Steady green.",a,A steady yellow light warns that a steady red light will soon appear.
1,Rules of the Road,What shape is a stop sign?,"a: Circle.,b: Square.,c: Octagon.",c,"Stop signs are uniquely octagonal, requiring drivers to come to a complete stop before proceeding."
3,In Shape to Drive,What is a telltale sign of a drunk driver?,"a: Making quick, sudden stops.,b: Driving slower than normal traffic flow.,c: Weaving between lanes.",c,"Drunk drivers often weave between lanes, speed, drive too slowly, or make abrupt stops, all indicating impaired driving."
1,Rules of the Road,What does a traffic light with a green arrow and red light mean?,"a: Wait for a solid green light to proceed.,b: Drive only in the direction of the green arrow.,c: Drive straight ahead only.",b,A green arrow with a red light allows driving only in the direction of the arrow if the intersection is clear.
1,Rules of the Road,What does a steady red traffic light mean?,"a: Slow down and yield to other traffic.,b: Stop and look for danger before crossing.,c: Stop and don’t proceed until the light turns green.",c,"A steady red light requires a complete stop, with drivers waiting until the light turns green and the intersection is clear."
1,Rules of the Road,What does a yellow and black diamond-shaped sign indicate?,"a: Directs you to nearby cities or towns.,b: Warns of road conditions or hazards.,c: Informs about traffic laws.",b,Yellow and black diamond-shaped signs warn of conditions or hazards on or near the road.
1,Rules of the Road,What does a flashing yellow light mean?,"a: Stop and wait for a green light.,b: Speed up to clear the intersection.,c: Slow down and proceed with caution.",c,A flashing yellow light requires drivers to slow down and proceed cautiously.
4,Emergencies,What should you do after a collision?,"a: Stand in traffic lanes to wait for help.,b: Stop at or near the collision site and move the vehicle off the road if possible.,c: Try to remove downed power lines.",b,"After a collision causing only property damage, move the vehicle off the road if possible. For other collisions, stop at or near the site."
2,Safe Driving Tips,After stopping for a school bus unloading children:,"a: Accelerate quickly.,b: Watch for children walking along the road.,c: Wait for children to wave before proceeding.",b,"After stopping for a school bus with its stop arm extended and lights flashing, watch for children walking along the road and drive cautiously."
3,In Shape to Drive,How does alcohol affect driving?,"a: Slows judgment.,b: Causes loss of concentration.,c: Impairs coordination.",c,"Even small amounts of alcohol impair vision, judgment, concentration, and coordination, affecting driving ability."
3,In Shape to Drive,What does alcohol do to a driver?,"a: Puts you to sleep.,b: Slows reflexes and reaction time.,c: Increases alertness.",b,"Alcohol, a depressant, slows reflexes, reaction time, and judgment, impairing safe driving."
2,Safe Driving Tips,When should you allow a larger space cushion when stopping?,"a: At a stop sign.,b: On an incline.,c: At an intersection.",b,"On an uphill slope, allow extra space in front of your vehicle to avoid collisions if the vehicle ahead rolls backward."
2,Safe Driving Tips,Why is a space cushion around your vehicle important?,"a: Keeps traffic moving at a safe pace.,b: Prevents distractions from other vehicles.,c: Gives you time to react to unexpected situations.",c,"A space cushion provides time to react to other drivers’ mistakes, enhancing safety."
2,Safe Driving Tips,When should you always signal?,"a: When pulling into or out of a parking space.,b: When changing lanes.,c: When pulling into traffic from an alley or parking area.",b,"Use turn signals when changing lanes, pulling into or out of parking spaces, or entering traffic from an alley or parking area to communicate intentions and prevent accidents."
2,Safe Driving Tips,"If an approaching driver doesn’t dim their high beams, where should you look?","a: Toward the left side of the road.,b: At the wheels of the approaching vehicle.,c: Toward the right side of the road.",c,Glance toward the right side of the road to avoid being blinded by high beams while staying on course.
1,Rules of the Road,What does an arrow painted on the pavement mean?,"a: Drivers in that lane must stop before following the arrow.,b: Drivers in that lane may follow the arrow if they choose.,c: Drivers in that lane must follow the arrow’s direction.",c,"A pavement arrow indicates that drivers in that lane must follow the arrow’s direction, subject to any overriding traffic signs or signals."
1,Rules of the Road,"If you arrive at an uncontrolled intersection at the same time as a vehicle on your right, you should:","a: Drive through and make the other vehicle stop.,b: Speed up to clear the intersection.,c: Slow down and yield to the vehicle on your right.",c,"At an uncontrolled intersection, yield to the vehicle on the right, which has the right-of-way, before proceeding."
2,Safe Driving Tips,"If another driver is passing your car, you should:","a: Signal when it’s safe for them to pass.,b: Pull off the road.,c: Check for oncoming traffic and adjust speed to allow safe passing.",c,"When being passed, check for oncoming traffic and adjust speed to facilitate the passing vehicle’s safe return to the right lane."
2,Safe Driving Tips,"When merging with other traffic, you should:","a: Merge regardless of a gap.,b: Wait until your lane ends and merge into a small gap.,c: Allow a gap of about four seconds.",c,A four-second gap is needed when merging to ensure a safe two-second following distance for you and the vehicle behind.
2,Safe Driving Tips,What could cause a crash while driving?,"a: Taking your attention away from driving.,b: Taking your hands off the wheel.,c: Taking your eyes off the road.",a,"Any distraction that diverts your attention, eyes, or hands from driving can lead to a crash."
3,In Shape to Drive,How does alcohol buildup in your blood affect you?,"a: Increases confidence.,b: Slows reactions.,c: Speeds up metabolism.",b,"Alcohol buildup slows reactions, boosts overconfidence, and increases errors, impairing driving ability."
1,Rules of the Road,When are you required to stop your vehicle?,"a: At a red light.,b: When a traffic officer signals you to stop.,c: At an intersection with a stop sign.",a,"You must stop at stop signs, red lights (flashing or steady), or when directed by a traffic officer."
1,Rules of the Road,"At a light rail intersection, you should always:","a: Share the road with pedestrians and bicyclists.,b: Look both ways before crossing tracks.,c: Obey all traffic signals.",b,"Never drive around lowered crossing gates, always look both ways before crossing tracks, and obey all signs and signals."
3,In Shape to Drive,What is the minimum THC level a driver under 21 may not have per milliliter of blood?,"a: One nanogram.,b: Zero nanograms.,c: Three nanograms.",b,"Drivers under 21 may not have any detectable THC in their blood, while those 21 or older may not exceed five nanograms per milliliter."
1,Rules of the Road,"When approaching a roundabout, you must:","a: Stop in the intersection to yield to traffic on the right.,b: Enter regardless of other vehicles or pedestrians.,c: Drive around the circle to the right.",c,"In a roundabout, always drive to the right, yielding to vehicles, pedestrians, and bicyclists already in or crossing the roundabout."
1,Rules of the Road,"At an intersection with a yield sign, you should:","a: Yield only to traffic on the left.,b: Always stop before entering.,c: Slow down and yield to traffic in the intersection.",c,A yield sign requires slowing down and yielding to traffic or pedestrians in the intersection or roadway you’re entering.
1,Rules of the Road,What does a green arrow with a red light at an intersection mean?,"a: Stop even if turning in the arrow’s direction.,b: Proceed straight through the intersection.,c: Turn safely in the direction of the arrow.",c,A green arrow with a red light allows a safe turn in the arrow’s direction after yielding to any vehicles or pedestrians in the intersection.
1,Rules of the Road,"At an uncontrolled intersection, you must:","a: Wait for other drivers to signal you to proceed.,b: Take the right-of-way cautiously.,c: Slow down and yield to vehicles already in the intersection or those that arrived first.",c,"At uncontrolled intersections, yield to vehicles already in the intersection or those that arrived first."
2,Safe Driving Tips,When should you turn on your headlights?,"a: Use parking lights.,b: Not use any vehicle lights.,c: Use headlights at dusk or on overcast days.",c,"Turn on headlights at dusk or on overcast days, using low beams within 1,000 feet of oncoming vehicles or 500 feet of vehicles you’re following."
2,Safe Driving Tips,Why be cautious when large trucks or buses make turns?,"a: They back up before turning.,b: They yield to all left-turning traffic.,c: They make wide turns and may cross the centerline.",c,"Large vehicles like trucks and buses make wide turns, sometimes crossing the centerline, so avoid crowding or passing them, especially on the right."
2,Safe Driving Tips,"Before changing lanes on a multilane highway, you should:","a: Turn on your headlights.,b: Sound your horn.,c: Check your mirrors and blind spots.",c,"Before changing lanes, check rearview and side mirrors and look over your shoulder to ensure no one is in your blind spot."
1,Rules of the Road,"When entering a roundabout, you must yield to:","a: Pedestrians in the roundabout.,b: Vehicles in the roundabout.,c: Bicyclists in the roundabout.",b,"Yield to vehicles, pedestrians, and bicyclists already in or crossing the roundabout before entering."
2,Safe Driving Tips,When should you signal before passing another vehicle?,"a: Just before changing lanes.,b: After changing lanes.,c: Early enough to inform other drivers.",c,Signal early before passing to alert other drivers of your intentions.
2,Safe Driving Tips,"Before starting the ignition, you should:","a: Ensure only child passengers are buckled.,b: Ensure only adult passengers are buckled.,c: Ensure all passengers are buckled.",c,"Before starting the vehicle, ensure all passengers, regardless of age, have their seat belts buckled."
1,Rules of the Road,"When turning left, it’s important to:","a: Swing to the right side of your lane.,b: Sound your horn.,c: Yield to oncoming vehicles.",c,"When turning left, yield to oncoming traffic and pedestrians to ensure a safe turn."
2,Safe Driving Tips,"Before making a turn, you should:","a: Increase your speed.,b: Use your turn signal.,c: Turn the wheel.",b,Activate your turn signal three to four seconds before turning to communicate your intent.
2,Safe Driving Tips,How long should you signal before changing directions?,"a: At least 75 feet.,b: At least 100 feet.,c: At least 50 feet.",b,Signal for at least 100 feet before changing directions to inform other drivers.
1,Rules of the Road,Where can bicyclists legally ride?,"a: In a left turn only lane without turning.,b: On freeways where signs prohibit it.,c: On the roadway, shoulder, or bicycle lane.",c,"Bicyclists may ride on the roadway, shoulder, bicycle lane, or sidewalk, following the same traffic rules as vehicles."
3,In Shape to Drive,What does not affect blood alcohol content (BAC)?,"a: How much time passes between drinks.,b: Your body weight.,c: The type of alcoholic beverage.",c,"BAC depends on the amount of alcohol consumed, time between drinks, and body weight, not the type of alcohol, fitness level, or ability to hold liquor."
2,Safe Driving Tips,What affects braking distance?,"a: The condition of the pavement.,b: The speed of your vehicle.,c: The condition of your brakes and tires.",b,"Braking distance is influenced by vehicle speed, brake and tire conditions, and pavement conditions."
2,Safe Driving Tips,When must your vehicle’s headlights be turned on?,"a:30 minutes after sunset to 30 minutes before sunrise.,b:One hour before sunset to one hour after sunrise.,c:You 30 minutes after sunset to 30 minutes before sunrise.",c,"Headlights must be on from 30 minutes after sunset to 30 minutes before sunrise, as required by law."
1,Rules of the Road,What are signs that require drivers to obey an instruction called?,"a: Information signs.,b: Regulatory signs.,c: Warning signs.",b,"Regulatory signs mandate specific actions, with penalties for non-compliance."
1,Rules of the Road,What does coming to a complete stop and yielding at an intersection correspond to?,"a: A solid green light.,b: A flashing yellow light.,c: A flashing red light.",c,"A flashing red light requires a complete stop and yielding to cross traffic or pedestrians, like a stop sign."
2,Safe Driving Tips,How does driving at night compare to driving during the day?,"a: No more or less dangerous.,b: More dangerous.,c: Less dangerous.",b,"Night driving is more dangerous due to reduced visibility, potential glare from headlights, and increased likelihood of fatigued or impaired drivers."
1,Rules of the Road,What do crossbuck signs indicate?,"a: School zones.,b: Railroad crossings.,c: No passing zones.",b,"Crossbuck signs mark railroad crossings, requiring drivers to yield to trains and not attempt to outdrive them."
2,Safe Driving Tips,What is defensive driving?,"a: Following closely behind another vehicle.,b: Getting ahead of poor drivers.,c: Identifying and avoiding dangerous situations.",c,Defensive driving involves recognizing hazardous situations and taking action to prevent accidents with other drivers or pedestrians.
2,Safe Driving Tips,Which activity increases the risk of a crash for distracted drivers?,"a: Using a CD player.,b: Using a cell phone.,c: Using the radio.",b,"Using a cell phone, even hands-free, is a significant distraction that increases crash risk, as do other audio devices to a lesser extent."
2,Safe Driving Tips,What is distracted driving?,"a: Nothing to worry about.,b: Extremely risky behavior.,c: Very uncommon.",b,"Distracted driving is highly dangerous, endangering drivers, passengers, pedestrians, and other motorists by diverting attention from the road."
2,Safe Driving Tips,What can cause distracted driving?,"a: Changing a radio station or CD.,b: Eating, drinking, or smoking.,c: Talking or texting on a cell phone.",b,"Any additional task, such as eating, drinking, smoking, talking, texting, or adjusting audio devices, creates dangerous distractions while driving."
2,Safe Driving Tips,When should you not pass another vehicle?,"a: When approaching an intersection.,b: When school bus lights are flashing.,c: On a hill or curve.",a,"Do not pass when your view is blocked by a hill or curve, at intersections, near railroad crossings or bridges, in no-passing zones, or when a school bus has flashing red lights, unless separated by a median or shared turn lane."
2,Safe Driving Tips,Why is following another car too closely dangerous?,"a: You may not see the vehicle’s turn signals.,b: You may not see the road between cars.,c: You may not have time to stop if the vehicle ahead slows or stops.",c,"Following too closely reduces the time to react if the vehicle ahead slows or stops, increasing collision risk."
5,Vehicle Licensing,How close can you park to a fire hydrant?,"a: Within 20 feet.,b: Within 15 feet.,c: Within 10 feet.",b,Parking within 15 feet of a fire hydrant is prohibited.
1,Rules of the Road,What do double solid yellow lines in the middle of a road mean?,"a: Pedestrian crossing ahead.,b: Passing is not permitted from either direction.,c: Railroad crossing ahead.",b,"Double solid yellow lines prohibit passing from either direction unless making a left turn or passing pedestrians, bicyclists, or scooters when safe."
1,Rules of the Road,What do downward-facing triangular signs indicate?,"a: Construction zones.,b: School zones.,c: Yield to traffic or pedestrians.",c,Downward-facing triangular signs typically indicate that drivers must yield to traffic or pedestrians and proceed when safe.
3,In Shape to Drive,Why is drinking alcohol and driving dangerous?,"a: It’s safe with only a few drinks.,b: It’s a minor traffic safety issue.,c: It’s a serious traffic safety problem.",c,"Driving under the influence of alcohol is a major safety hazard, impairing safe operation and endangering everyone on the road."
1,Rules of the Road,"When turning left at an intersection, drivers should:","a: Wait in the intersection until the light turns yellow.,b: Wait for the green arrow before turning.,c: Wait in the intersection until clear to turn.",b,Drivers must not enter an intersection unless they can clear it without stopping. Wait for a green arrow or clear conditions before turning left.
1,Rules of the Road,When must drivers yield to a pedestrian?,"a: Only if the pedestrian is on the same side of the road.,b: Only when the pedestrian is in a crosswalk.,c: Even if the pedestrian crosses carelessly.",c,"Drivers must yield to pedestrians in the street, even if they are crossing against a red light or behaving carelessly."
2,Safe Driving Tips,What happens when drivers eat or drink while driving?,"a: They are better drivers because they aren’t hungry.,b: They make no driving errors.,c: They have trouble controlling their vehicle.",c,"Eating or drinking while driving distracts drivers, causing difficulty in staying in lanes and controlling the vehicle."
3,In Shape to Drive,How does alcohol consumption affect drivers?,"a: Makes them more careful than sober drivers.,b: Impairs control over their body, mind, and vehicle.,c: Ensures they are aware of risks.",b,"Alcohol impairs judgment, vision, concentration, and reaction time, making it unsafe to drive even in small amounts."
2,Safe Driving Tips,How does distracted driving affect a driver’s performance?,"a: Causes the driver to drive faster.,b: Is never dangerous.,c: Slows reaction to hazards.",c,"Distractions slow a driver’s reaction to traffic and hazards, making driving unsafe."
3,In Shape to Drive,How do drowsy drivers behave?,"a: Can stay alert by opening a window.,b: Drive as poorly as if drunk.,c: Stay awake with strong coffee.",b,"Drowsy drivers can perform as poorly as drunk drivers, and measures like opening windows or drinking coffee are insufficient to maintain alertness."
4,Emergencies,What must you do when an emergency vehicle with sirens or flashing lights approaches?,"a: Yield the right-of-way.,b: Follow instructions from its loudspeaker.,c: Proceed only when the path is clear.",a,"Emergency vehicles like police cars, fire engines, or ambulances using sirens or flashing lights have the right-of-way. Follow loudspeaker instructions and proceed only when the path is clear, as these vehicles often travel in groups."
1,Rules of the Road,What is the correct order of traffic lights from top to bottom?,"a:Green,b:Red,c:You red",b,"Vertically arranged traffic signals always have red at the top, yellow in the middle, and green at the bottom. Horizontally, red is on the left and green on the right."
3,In Shape to Drive,How many alcoholic drinks does the body typically eliminate per hour?,"a: Two drinks.,b: One drink.,c: Half a drink.",b,The body generally eliminates the alcohol from one drink per hour.
1,Rules of the Road,What color are guide signs that provide directional and mileage information?,"a: Red.,b: Green.,c: Yellow.",b,"Guide or destination signs, which offer directional and mileage details, have a green background and are useful in unfamiliar areas."
1,Rules of the Road,What purpose do highway markings serve?,"a: Found only in construction zones.,b: Provide information to drivers.,c: Usually unimportant.",b,"Highway markings guide drivers by indicating correct vehicle positioning, safe passing zones, and upcoming road conditions."
2,Safe Driving Tips,How can you reduce the risk of hydroplaning?,"a: Avoid speeding on wet roads.,b: Use tires with proper tread and air pressure.,c: Replace worn tires.",a,"Hydroplaning occurs when tires glide on water, losing traction. Proper tire tread, correct air pressure, and avoiding high speeds on wet roads reduce this risk."
2,Safe Driving Tips,What typically causes hydroplaning?,"a: Sudden turns.,b: Excessive stops.,c: High speeds on wet roads.",c,"Driving too fast on wet roads reduces tire grip, causing the vehicle to slide on a water film, known as hydroplaning."
4,Emergencies,What should you do if you collide with a parked vehicle?,"a: Leave your name and address at the county courthouse.,b: Stay until the owner returns.,c: Try to find the owner or leave a note with contact details and collision time.",c,"If you hit a parked vehicle, attempt to locate the owner. If unsuccessful, leave a visible note with your contact information and the date and time of the collision."
2,Safe Driving Tips,What must you do if a crossing guard is directing traffic in a school zone?,"a: Assume the guard shouldn’t be directing traffic.,b: Follow the crossing guard’s instructions.,c: Mimic surrounding traffic despite the guard’s directions.",b,"In a school zone, obey a crossing guard’s instructions, reduce speed, and drive cautiously to ensure safety."
2,Safe Driving Tips,What is required if a flagger is directing traffic in a construction zone?,"a: Follow the flagger’s directions.,b: Assume the flagger isn’t authorized to direct traffic.,c: Follow surrounding traffic despite the flagger’s instructions.",a,"In construction zones, follow a flagger’s directions, reduce speed, and exercise caution to ensure the safety of workers."
1,Rules of the Road,What happens if a green arrow changes to a solid green light?,"a: You may still turn but must yield to oncoming traffic.,b: You must proceed straight and cannot turn.,c: You retain the right-of-way to turn.",a,"When a green arrow becomes a solid green light, you may turn in the arrow’s direction but must yield to pedestrians and oncoming traffic."
2,Safe Driving Tips,What must you do if a transit vehicle signals to re-enter the main roadway?,"a: Honk to alert the driver.,b: Yield to the transit vehicle.,c: Move to the left lane.",b,"Yield to a transit vehicle signaling to re-enter the roadway after stopping, by changing lanes, slowing down, or stopping to allow safe re-entry."
2,Safe Driving Tips,Where should you look if an oncoming vehicle’s high beams are on?,"a: The center of the road.,b: The right side of the road.,c: Either side of the road.",b,"Glance toward the right side of the road to avoid being blinded by an oncoming vehicle’s high beams, ensuring you can stay on course."
2,Safe Driving Tips,How should you respond if an aggressive driver cuts you off?,"a: Flash your lights to signal their mistake.,b: Stay calm and move out of their way.,c: Call the police immediately.",b,"If cut off by an aggressive driver, remain calm and move out of their way to avoid escalating the situation and ensure safety."
4,Emergencies,What must you do if a train is approaching a railroad crossing?,"a: Cross the tracks at your own risk.,b: Slow down and proceed cautiously.,c: Wait until the train has fully passed.",c,"Do not cross railroad tracks if a train is approaching and poses a danger, even if signals are absent or malfunctioning."
4,Emergencies,What should you do if an emergency vehicle with flashing lights is nearby?,"a: Stop immediately to block their path.,b: Speed up to avoid them.,c: Clear a path for the emergency vehicle.",c,Make every effort to provide a clear path for an emergency vehicle with flashing lights by pulling over safely.
4,Emergencies,"When an officer is directing traffic at a functioning traffic light, you should:","a: Follow the traffic light signals.,b: Honk at the officer.,c: Obey the officer’s directions.",c,"When an officer directs traffic at an intersection with a working traffic light, follow the officer’s instructions over the signals."
4,Emergencies,"If an oncoming vehicle is in your lane, you should:","a:Honk,b:You honk,c:It is required to honk",b,"Honk to alert the driver, steer right to avoid a collision, and brake firmly to reduce impact if a crash is unavoidable."
2,Safe Driving Tips,What should you do if another driver cuts you off?,"a: Flash your high beams at them.,b: Pull next to them and yell.,c: Let it go and drive safely.",c,"To avoid road rage, let go of being cut off and continue driving safely without taking it personally."
