id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
11494,"When taking the basic vehicle control skills test, failing to exit your vehicle properly during any exercise will result in:",,Failure of only that exercise.,An extra point against your final score.,Automatic failure of the basic vehicle control skills test.,,C,"When exiting your vehicle during the basic vehicle control skills test, you must face the vehicle and maintain three points of contact at all times. If your testing vehicle is a bus, you must maintain contact with the handrail. Exiting the vehicle incorrectly may result in automatic failure of the basic control skills test."
8741,"At a passive railroad crossing, the decision to proceed:",,Rests with the driver.,Is indicated by a control device.,Is decided by the vehicle in front of you.,,A,Railroad crossings that do not have any kind of traffic control device are known as passive crossings. The decision to proceed across tracks at a passive crossing is entirely up to the driver.
8732,"If a student drops an item while approaching a school bus, the student should:",,Stop and pick up the object.,Have another student pick up the object.,Ask the driver to pick up the object.,,C,"If a student tries to retrieve a dropped object, they may disappear from the driver's line of sight. This is potentially very dangerous. Rather than retrieve dropped items themselves, students should move to a point of safety outside of the bus's danger zones, get the driver's attention, and wait for the driver to retrieve what has been dropped."
8736,"As a general rule, student safety is best maintained by:",,Keeping students on the bus.,Letting some students evacuate the bus.,Letting students evacuate the bus and scatter.,,A,"In most emergency or crisis situations, students will be safest and easiest to keep under control if they remain on the school bus. Generally, students should be kept on the bus as long as it does not expose them to unnecessary risks or injury."
8730,"When dropping off students at a school, a driver should:",,Secure the bus by turning off the engine.,"Leave the key in the ignition, if leaving the driver’s compartment.",Read a book while students unload.,,A,"When unloading students at a school, a bus driver must secure the bus by turning off the engine. If they must leave the driver's compartment, they should remove the key from the ignition. The driver must supervise the unloading process."
11337,"When performing a pre-trip inspection and looking into the fifth wheel gap, you should:",,Make sure there is a gap between the kingpin and the locking jaws.,Make sure the locking jaws are fully closed around the kingpin.,Make sure the locking jaws are loose.,,B,"When inspecting a tractor/trailer coupling, look into the fifth wheel gap and make sure the locking jaws are fully closed around the kingpin."
9314,"If taking the driving test and the route does not include a railroad crossing, you:",,Will not have to do anything related to a crossing.,May have to explain how you would cross railroad tracks.,Will have to take the test again on a route that does include a railroad crossing.,,B,"If your on-road driving test route does not include a railroad crossing, you may be asked to explain and demonstrate the proper railroad crossing procedures to the examiner at a simulated location."
11345,"When approaching a school bus stop, the bus driver should:",,Not use their mirrors.,Approach the stop with caution.,Stop on the sidewalk.,,B,A school bus driver should always approach bus stops slowly and cautiously.
8742,Active railroad crossings:,,Have traffic control devices installed.,Do not have any traffic control devices installed.,Are crossed by at least 10 vehicles every hour.,,A,"Railroad crossings with control devices to regulate traffic are known as active crossings. Control devices may include regulators such as flashing red lights, warning bells, and gates. Drivers are required by law to follow instructions given by control devices."
11499,"When alley docking, you should first:",,Position your vehicle directly in front of the alley.,Back up directly in front of the alley.,Stop parallel to the outer boundary of the alley.,,C,"If you are asked to alley dock, you should first pull past the alley and stop your vehicle in a position that is parallel to the outer boundary. From there, you should back your vehicle entirely into the alley parking area. Your vehicle should be parked in a straight position within the boundaries of the parking space."
8746,ABS allows you to:,,Drive faster.,Drive less carefully.,Maintain control under slippery conditions.,,C,"Anti-Lock Braking Systems (ABS) help prevent brake lockup when driving on slippery surfaces. If a driver brakes too hard on a slippery surface, ABS makes it easier for the driver to maintain control of their vehicle. A vehicle equipped with ABS should be driven and braked in the same way as a vehicle without ABS."
11500,"During a basic vehicle control skills test, you may be asked to:",,Swerve to avoid a hazard.,Parallel park.,Drive straight into a parking space.,,B,"Maneuvers that may be included in the basic vehicle control skills test include straight line backing, offset back/right parking, offset back/left parking, driver side parallel parking, conventional parallel parking, and alley docking."
11338,"During the driving test, the examiner will be scoring you on:",,Attitude.,How quickly you arrive to your destination.,Your general driving behavior.,,C,"During the on-road driving test, the examiner will be scoring you on specific driving maneuvers, as well as your general driving behavior."
11504,"If you are stopped at a railroad crossing while operating a school bus, you should:",,Prepare to proceed as soon as a train passes.,Ignore signs and signals.,Open the door to listen for approaching trains.,,C,"When stopped at a railroad crossing while operating a school bus, do not rely only on signals to tell you if a train is approaching. You should silence all passengers, open the front door, and look and listen for trains. After a train has passed, you should check for another train approaching from either direction before you proceed across the tracks."
9613,"As a general rule, where should students be kept during an emergency?",,On the bus,On the side of the road near the bus,In a field away from the bus,,A,"In most emergency or crisis situations, students on a school bus will be safer and more easily controlled if they are kept on the bus than if they are evacuated. However, if staying on a bus will expose the students to risk or injury, the bus driver should escort them to a safe location."
8933,"If a student drops an item near a stopped bus, they should:",,Hurry and pick up the item.,Leave the item behind.,Ask the driver to pick up the object.,Have another student pick it up.,C,"It is dangerous for students to retrieve dropped items because doing so could cause them to disappear from the driver's view at a crucial moment. If an item is dropped, the student should get out of the bus's danger zones, get the attention of the driver, and ask the driver to retrieve the item."
11383,"During a basic vehicle control skills test, what is considered an encroachment?",,The vehicle crossing over an exercise boundary line.,A driver executing a single pull-up.,A driver placing the vehicle in neutral and applying the parking brake.,The vehicle stalling while the driver shifts gears.,A,An encroachment during the basic vehicle control skills test is when an exercise boundary line is touched or crossed by any portion of the applicant's vehicle. Every encroachment will be counted as an error.
9153,"Before operating a school bus, ____ should be checked.",,The left mirror,The right mirror,All mirrors,The inside mirror,C,"It is essential that school bus drivers check all of the bus's mirrors before operating the vehicle. You should always have a maximum viewing area that is consistent with Federal Motor Vehicle Safety Standards. If necessary, have the positioning of the mirrors adjusted."
8935,"While students load and unload a bus, the driver should:",,Read a book.,Watch the process and keep an eye on the students.,Talk to other bus drivers.,Listen to the radio.,B,The driver of a school bus should observe students as they enter or exit the bus to ensure that they are not caught in the door or handrails. It is also important to make sure the students have moved a safe distance away from the unloading area after they have exited the bus.
9011,"When conducting a vehicle inspection, you must show each of the following, except:",,That the oil pressure gauge is working.,"That the oil pressure warning light turns off, or that the gauge shows increasing or normal oil pressure.","That the oil temperature gauge, if equipped, rises to the normal operating range.",That the oil pressure gauge comes on when brakes are used.,D,"When checking the oil pressure gauge as part of a vehicle inspection test, you must ensure that it is working. The gauge should show increasing or normal oil pressure, or the oil pressure warning light should turn off. If equipped with one, the oil temperature gauge should begin a gradual rise to the normal operating range."
9033,"When asked to make a lane change during the skills test, you should:",,Make the necessary traffic checks first.,Not use your mirrors.,Cut off other vehicles if needed to follow the instructions.,Not make the lane change if you don’t want to.,A,"You will be asked to make multiple lane changes during the driving skills test. Before changing lanes, you should make the necessary traffic checks and use proper signals. Change lanes smoothly when you can do so safely."
9032,"During the skills test, if making a turn that requires a stop, you should:",,Skid to a stop.,Stop after the stop line to get a better view.,Allow your vehicle to roll.,Keep the front wheels aimed straight ahead.,D,"If you must come to a stop before making a turn during the driving skills test, you should come to a smooth stop behind any stop line, crosswalk, or stop sign. Keep your front wheels aimed straight ahead and do not let your vehicle roll. If stopping behind another vehicle, stop where you are still able to see the rear tires of the vehicle ahead of you."
9407,During the basic vehicle control skills test:,,A pull-up always counts against the applicant.,A pull-up should be completed at least once.,Stopping without changing direction is not considered a pull-up.,Excessive pull-ups are acceptable in the opinions of some test administrators.,C,"During the basic vehicle control skills test, a pull-up will be scored any time an applicant stops and pulls forward to gain a better position. Stopping without changing direction will not. An excessive number of pull-ups will count as errors."
9016,"When checking tire condition during the vehicle inspection, you should:",,Ensure that the insides of the tires are more worn than the outsides of the tires.,Ensure that the outsides of the tires are more worn than the insides of the tires.,Ensure that the middles of the tires are more worn than the outsides of the tires.,Ensure that the tires have even wear.,D,"When examining your tires during the vehicle inspection test, you should ensure that treads are evenly worn."
9163,Drivers should try to stop ____ away from students at a bus stop.,,About 100 feet,At least 50 feet,At least 10 feet,Less than 10 feet,C,"A school bus should stop at least 10 feet away from students who are being picked up at a bus stop. This forces the students to walk toward the bus, allowing the driver to observe their movements and better monitor their locations."
8932,When should a bus start moving after students have boarded?,,As soon as the students are through the door,When the students are near their seats but are still standing,When the students are seated and looking forward,As soon as the students cross the standee line,C,"Once students have boarded a school bus, the driver should wait to move the bus until all of the passengers are seated and looking forward."
11397,"When asked to complete a driver's side parallel parking maneuver, you should:",,"Pass the parking space while backing, then pull forward into it.","Pull forward past the parking space, then back into it.",Pull forward into the parking space without passing it first.,Back into the parking space without passing it first.,B,You may be asked to complete a parallel parking maneuver into a parking space that is to the left of your vehicle. You should drive past the parking space before backing into it while bringing the rear of your vehicle as close to the rear of the space as possible. Your vehicle should be completely within the boundaries of the space.
11433,"When approaching a railroad crossing while operating a school bus, you should generally:",,Stop between 15 and 50 feet before the nearest rail.,Stop 100 feet before the nearest rail.,Stop 10 feet before the nearest rail.,Continue across the tracks without stopping.,A,"In general, school bus drivers should stop before any railroad crossings to check the tracks for approaching trains. Drivers should stop no closer than 15 feet, and no farther than 50 feet, from the nearest rail in order to have the best view of the tracks. They should look and listen for approaching trains before proceeding through the crossing."
9158,Properly adjusted outside convex mirrors should allow the driver to see:,,Where the front of each rear tire touches the ground.,Where the front of each front tire touches the ground.,The top of the bus.,The muffler.,A,"On a school bus, outside convex mirrors should be adjusted to allow the driver to see at least one traffic lane on either side of the bus; the entire side of the bus up to the mirror mounts; and where the front of each rear tire touches the ground."
8927,Outside flat mirrors should be adjusted to see ____ behind the bus.,,One bus length,50 feet,Four bus lengths,"1,000 feet",C,"On a school bus, the outside right and left side mirrors should be adjusted so the driver can see 200 feet (or four bus lengths) behind the bus."
8936,If your bus's Anti-Lock Braking System (ABS) stops working:,,You will not have any working brakes.,The brakes will react more slowly than usual.,You will still have normal braking power.,You should not brake.,C,"If its Anti-Lock Braking System (ABS) is not working, a vehicle will still retain its normal braking power. The driver should continue to drive and brake in a normal fashion."
8931,"When approaching students at a bus stop, you should stop:",,As close as possible to the students.,Within an arm’s reach of the students.,At least 10 feet away from the students.,About 80 feet away from the students.,C,"When approaching a bus stop, a school bus driver should come to a full stop at least 10 feet away from the waiting students. By forcing the students to walk to the bus, the driver is better able to keep an eye on their movements and location."
9555,A school bus stop:,,Can be added by the driver if there is a need.,Should be voted on by the students.,"May change, depending on weather conditions.",Should be established by the proper school district authorities.,D,A school bus driver should not alter the location of a bus stop without written authorization of the appropriate school district officials.
9666,Outside mirrors on a school bus should be adjusted:,,Before a trip begins.,During a trip.,After students board the bus.,After a trip ends.,A,All mirrors on a school bus should be checked and adjusted before beginning a trip. Proper mirror adjustment is vital to the safety of all students and surrounding vehicles.
8928,A properly adjusted flat mirror should allow the driver to see:,,The rear tires touching the ground.,The front tires touching the ground.,Only the roadway and no parts of the bus.,The front bumper.,A,"Properly adjusted flat mirrors on a school bus should allow the driver to see 200 feet behind the bus, the base of each rear wheel, and the sides of the bus."
11390,Your vehicle's final position should be:,,Exactly where the examiner has instructed it to be.,Within five feet of the final position described by the examiner.,Wherever you can safely park.,Within two feet of the final position described by the examiner.,A,"You should finish each exercise with your vehicle in the exact position described by the examiner. You can be penalized for failing to complete an exercise exactly in the manner described by the examiner, potentially resulting in failure of the basic control skills test."
9152,The area to the left of a school bus is considered especially dangerous to students because:,,The sun’s reflection obscures the left side of the bus.,Passing vehicles are located to the left of the bus.,It is difficult to see the left side of any bus.,There is no door on the left side of the bus.,B,"While all sides of a school bus have danger zones, the left side is particularly hazardous to students due to the presence of passing vehicles."
11400,"If asked to sight-side back your vehicle into an alley, you should first:",,Pull directly into the alley parking space.,Turn your vehicle to the right to position yourself directly in front of the alley.,Pull past the alley and stop perpendicular to the outer boundary.,Pull past the alley and stop parallel to the outer boundary.,D,"If you are asked to alley dock, you should first pull past the alley and stop your vehicle in a position that is parallel to the outer boundary. From there, you should back your vehicle entirely into the alley parking area. Your vehicle should be parked in a straight position within the boundaries of the parking space."
8934,"In the event of a bus evacuation, students should be led at least ____ away from the road.",,10 feet,20 feet,50 feet,100 feet,D,"If it is necessary to evacuate a school bus, students should be led by the driver in the direction of oncoming traffic to a safe location that is at least 100 feet off the road. This will help to ensure that they are not hit by flying debris if another vehicle hits the bus."
10142,"After students unload at a school, the driver:",,May assume students have taken all of their belongings with them.,Should assume the students have immediately cleared the doorway.,Should walk through the bus and check for any sleeping or hiding students.,May turn off the dispatch radio.,C,"After students have exited a bus at a school, the driver should walk through the bus to check for any remaining students who are hiding or sleeping. Drivers should also look out for items that students may have left behind."
10140,A school bus must be evacuated if:,,The bus has stalled in winter weather conditions.,The air conditioning system has broken.,There is any imminent danger of collision.,Students are getting motion sickness.,C,"During emergency situations, it is usually safest for students to remain on a school bus. Evacuations are mandatory if the bus has stalled on railroad tracks, if the bus is on fire or there is a threat of fire, or if there is a hazardous materials spill. Students should be evacuated any time there is imminent danger of collision."
9020,The front of an enclosed trailer should:,,Be swept clean.,Contain rags.,Not be used for cargo.,Be free of cracks.,D,"When inspecting an enclosed trailer as a part of the vehicle inspection test, check the front area of the trailer for signs of damage, such as cracks, bulges, or holes."
9406,During the pre-trip vehicle inspection test:,,Applicants will not have to identify the ABS.,Windshield wipers are not to be addressed.,Shock absorbers only need to be checked on one axle.,The steering box should be checked for leaks.,D,"During the external inspection portion of the pre-trip vehicle inspection test, you must verify that the steering box is securely mounted and not leaking."
9156,"If a bus is equipped with outside convex mirrors, they will be located:",,Below the outside flat mirrors.,Above the outside flat mirrors.,Next to the door.,On top of the bus.,A,"Outside convex mirrors on a school bus are located below the outside flat mirrors. They are used to see a wide view of traffic, clearance, and students around the bus."
9047,"When taking the on-road driving test, you will be evaluated on your lane usage. Which of the following is an example of poor lane usage?",,Not driving over curbs or sidewalks,Stopping behind crosswalks,Driving in the leftmost lane if more than one driving lane is available,Finishing a right turn in the rightmost lane,C,"During the on-road driving skills test, make sure you do not put your vehicle over curbs, sidewalks, or lane markings. Stop behind stop lines, crosswalks, or stop signs. On multiple-lane roads, complete turns in the proper lane. Always move to or remain in the rightmost lane, unless the lane is blocked."
9030,"During the on-road driving test, you must do all of the following, except:",,Wear your safety belt.,Obey all traffic laws.,Complete the test without a moving violation.,"Obey all traffic signs and signals, but only if other traffic is present.",D,"You must drive in a safe and responsible manner during the on-road driving test. This includes wearing your safety belt; obeying all traffic signs, signals, and laws; and completing the test without an accident or moving violation."
11393,"If exiting a bus during the basic vehicle control skills test, you must:",,Keep both hands on the handrail.,Not touch the handrail.,Maintain a firm grasp on the handrail.,Rush down the stairs.,C,"When exiting your vehicle during the basic vehicle control skills test, you must face the vehicle and maintain three points of contact at all times. If your testing vehicle is a bus, you must maintain contact with the handrail. Exiting the vehicle incorrectly may result in automatic failure of the basic control skills test."
11434,"When stopped at a railroad crossing while operating a school bus, you should:",,Assume you'll hear an approaching train.,Rely solely on signals to tell you if a train is approaching.,Open the door and listen for a train.,Immediately proceed after a train has passed.,C,"When stopped at a railroad crossing while operating a school bus, do not rely only on signals to tell you if a train is approaching. You should silence all passengers, open the front door, and look and listen for trains. After a train has passed, you should check for another train approaching from either direction before you proceed across the tracks."
9019,"If your vehicle is equipped with a cargo lift, you should ensure that:",,The lift is loosely attached.,The lift is not leaking.,The lift is fully extended.,The lift is the proper color.,B,"When checking a cargo lift as part of your vehicle inspection test, you should check for leaking, damaged, or missing parts. The lift must be fully retracted and latched securely."
9048,"When taking the on-road test, you will be evaluated on regular traffic checks. You should not:",,Scan the road for pedestrians.,Check traffic regularly.,Avoid checking your mirrors near intersections.,Check your mirrors regularly.,C,"While taking the on-road driving skills test, check for traffic and use your mirrors regularly, especially when encountering intersections. Scan and check for pedestrians in areas where they may be present."
9041,"When crossing railroad tracks, you should:",,Not stop.,Try to pass slower vehicles.,Change lanes.,Put the vehicle in neutral.,A,"When crossing railroad tracks during the on-road driving skills test, you must not stop, change gears, pass another vehicle, or change lanes while any part of your vehicle is in the railroad crossing."
9205,Students should board a school bus:,,In a single-file line.,Two at a time.,In as large a group as possible.,However they want to. It makes no difference.,A,Students should board a school bus slowly while in a single-file line and holding the handrails.
9209,"When you are approaching a bus stop, the students on your bus should:",,Remain seated.,Stand up and collect their belongings.,Walk to the front of the bus and prepare to exit.,Ask the driver questions.,A,Students on a school bus should remain seated until they are told otherwise. It is unsafe for students to walk around the bus while it is moving.
9035,"When driving on the expressway during the skills test, you should:",,Switch lanes frequently.,Use your mirrors to check traffic as needed.,Drive on the left side of the lane.,Drive above the posted speed limit.,B,"During the on-road driving skills test, you may be asked to drive on an expressway. Make sure you maintain proper lane positioning, vehicle spacing, and vehicle speed. Continue to thoroughly check traffic in all directions while on the expressway."
11380,"During the basic control skills test, you can acquire points by:",,Crossing over an exercise boundary.,Pulling up one time.,Exiting the vehicle one time to check your positioning.,Setting the parking brake.,A,"The examiner will score the number of times your vehicle touches or crosses an exercise boundary line. Each encroachment will count as an error, resulting in points against your skills test score."
9009,"When checking the power steering fluid during a vehicle inspection, you will need to do each of the following, except:",,Show where the power steering fluid dipstick is located.,Check for adequate power steering fluid.,Ensure that the power steering fluid level is above the full mark.,Ensure that the power steering level is above the refill mark.,C,"When checking the power steering fluid during the vehicle inspection test, you must be able to indicate where the power steering fluid dipstick is located and show that there is an adequate amount of power steering fluid in the engine compartment. The fluid level must be above the refill mark."
11398,"When asked to complete an offset back/right parking maneuver, you should:",,"Pull straight forward, then back to the right.","Pull straight forward, then back to the left.","Pull forward to the right, then back in a straight line.","Pull forward to the left, then back in a straight line.",A,"If you are asked to complete an offset back/right parking maneuver, you should first pull straight forward, then back up to the right. Your vehicle must be parked completely within the boundaries of the parking space."
9027,"When taking the basic control skills test, drivers are:",,Not permitted to stop and exit the vehicle to look at the vehicle’s position.,Encouraged not to exit the vehicle to look at the vehicle’s position.,"Allowed to leave the vehicle, but only if the vehicle is placed in reverse.","Allowed to leave the vehicle, but only if the vehicle is placed in neutral and the parking brake is set.",D,"During the basic vehicle control skills test, you must place the vehicle in neutral and set the parking brake before exiting the vehicle to check its position. You may check the position of the vehicle no more than twice, except during the straight line backing exercise, where you may look no more than once."
9319,School buses:,,Are never equipped with ABS.,Are only equipped with ABS if located in cold climates.,May be equipped with ABS.,,C,Most commercial vehicles manufactured after 1998 or 1999 are required to be equipped with Anti-Lock Braking Systems (ABS). Many older buses are also equipped with ABS.
11389,"During a basic vehicle control skills test, what is considered a look?",,Walking to the back of a vehicle to check its position,Using side mirrors to check a vehicle's position,Looking out of the driver's side window to check a vehicle's position,A driver glancing over their shoulder to check blind spots,A,"A driver uses a look when they open their door, leave their seated position, and walk to the back of the vehicle to check its position. During the straight line backing exercise, a driver may not exceed one look. During any other exercise, a driver may not exceed two looks."
9408,"When taking the on-road driving test, you must do all of the following, except:",,Wear your safety belt.,Obey all traffic signs.,Complete the test without an accident.,Demonstrate that you can use your cell phone while driving.,D,"During the on-road driving test, you must drive in a safe and responsible manner; wear your safety belt; obey all traffic signs, signals, and laws; and complete the test without any accidents or moving violations."
9405,When inspecting engine compartment belts during the vehicle inspection test:,,"The belts should be checked for snugness, each with up to three inches of play.",The water pump belt does not need to be identified.,The air compressor belt should be removed.,"The applicant must identify which items are not belt-driven, if any.",D,"When checking the engine compartment during the vehicle inspection test, you must check the power steering, water pump, alternator, and air compressor belts. In addition to cracks and frays, you should check the belts for snugness, allowing up to three-quarters of an inch of play at the center of each belt. If any of these items are not belt-driven, you must identify them and ensure that their components are operating properly, are not damaged or leaking, and are mounted securely."
11391,"When exiting your vehicle, you must maintain ____ with the vehicle at all times.",,One point of contact,Four points of contact,Three points of contact,Two points of contact,C,"When exiting your vehicle during the basic vehicle control skills test, you must face the vehicle and maintain three points of contact at all times. If your testing vehicle is a bus, you must maintain contact with the handrail. Exiting the vehicle incorrectly may result in automatic failure of the basic control skills test."
9318,When students are being picked up by a school bus:,,The students should wait at a designated bus stop.,The driver should pick up students whether or not they are at the designated bus stop.,The parents should choose where the bus stop will be located.,,A,A school bus driver should load and unload students only at designated stops that have been approved by appropriate school district officials.
11399,"When asked to complete an offset back/left parking maneuver, you should:",,"Pull straight forward, then back to the right.","Pull straight forward, then back to the left.","Pull forward to the right, then back in a straight line.","Pull forward to the left, then back in a straight line.",B,"If you are asked to complete an offset back/left parking maneuver, you should first pull straight forward, then back up to the left. Your vehicle must be parked completely within the boundaries of the parking space."
11401,"When alley docking, your vehicle should be parked:",,With the front bumper on top of the front boundary line.,With the rear wheels over the rear boundary line.,Straight within the boundaries of the parking space.,At an angle within the boundaries of the parking space.,C,"If you are asked to alley dock, you should first pull past the alley and stop your vehicle in a position that is parallel to the outer boundary. From there, you should back your vehicle entirely into the alley parking area. Your vehicle should be parked in a straight position within the boundaries of the parking space."
9031,"During the on-road driving test, you should:",,Develop your own route to show off your driving skills.,Listen to directions from the examiner.,Bring a passenger to ride with you.,Drive in an unsafe manner.,B,"During the on-road driving test, you must listen to and follow the directions given by the examiner. They will never ask you to drive in an unsafe manner."
9013,"During the vehicle inspection test, you will be required to do all of the following, except:",,Walk around the vehicle.,Point to or touch each item.,Explain what you are checking and why.,Crawl under the vehicle.,D,"As a part of earning your CDL, you will have to pass an inspection test and demonstrate that your vehicle is safe for operation. During the vehicle inspection test, you will have to walk around the vehicle and point to or touch each item and explain to the examiner what you are checking and why. You will not have to crawl under the hood or under the vehicle."
9037,"Once stopped as a part of the stop/start maneuver, you should:",,Use the four-way flashers.,"Not use the four-way flashers because it is just a test, not an emergency.",Leave the vehicle in first gear.,Park in front of a fire hydrant.,A,"Once you have stopped as a part of the stop/start maneuver during the on-road driving skills test, you must activate your four-way flashers and shift into neutral or park. You must not block any driveways, intersections, fire hydrants, or signs."
9015,"When checking the springs during a vehicle inspection, do all of the following, except:",,Look for missing leaf springs.,Look for broken coil springs.,Ensure torsion springs are not damaged.,Glue cracked leaf springs.,D,"When checking the springs as part of the vehicle inspection test, you should look for missing, shifted, cracked, or broken leaf springs, as well as broken or distorted coil springs. If the vehicle is equipped with torsion bars, torque arms, or other types of suspension components, ensure that they are not damaged and are mounted securely."
9668,Why should a school bus stop a short distance from students who are waiting to board?,,"The students will have to walk to the bus, making it easier for the driver to watch their movements.",The students will usually be waiting on a sidewalk.,The students may get scared of a school bus coming toward them.,Buses are difficult to drive.,A,"When being stopped to load students, a school bus should stop at least 10 feet away from the waiting students. This forces the students to walk toward the bus, making it easier for the driver to keep track of their movements."
9206,"Before leaving a bus stop, a driver should:",,Make sure no students are running to catch the bus.,Make sure students have placed their backpacks in the aisle.,Make sure students have opened the emergency vent.,Make sure students are facing the rear of the bus.,A,"Before pulling away from a bus stop, a driver should make sure that there are no students running to catch the bus."
